#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:58:47 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:58:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=V/28/adjarea&-order=I&-out=ID&-out=X&-out=Y&-out=V&-out=B-V&-out=U-B&-out=pmX&-out=pmY&-out=Cl_mem&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5028
#Name: V/28
#Title: Proper Motions, UBV Photometry, Four Open Clusters (Frolov 1980)
#INFO	ivoid=ivo://cds.vizier/v/28	    IVOID of underlying data collection
#INFO	creator=Frolov V.N.	    First author or institution
#INFO	cites=bibcode:1977IzPul.195...80F	    Article or Data origin sources
#INFO	original_date=1977	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/28	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	V_28_adjarea:
#Name: V/28/adjarea
#Title: Photometry and Proper Motions Data
#Column	ID	(I4)	Star Number	[ucd=meta.id;meta.main]
#Column	X	(F6.2)	X-Coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Y	(F6.2)	Y-Coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	V	(F5.2)	*? V Magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	? U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	pmX	(I4)	X-annual proper motion	[ucd=pos.pm]
#Column	pmY	(I5)	Y-annual proper motion	[ucd=pos.pm]
#Column	Cl_mem	(I4)	*Cluster Membership	[ucd=meta.code.member]
ID;X;Y;V;B-V;U-B;pmX;pmY;Cl_mem
1789; 11.92; 18.30;13.53; 1.05; 0.44; 256;  138;   0
1790; 11.99; 18.64;15.24; 0.69;     ;   2;   88;   0
1791; 12.01; 19.03;14.91; 0.77;     ;   0;   60;   0
1792; 11.99; 19.38;12.02; 0.70; 0.37; -34;   -8;   0
1793; 13.28; 19.22;14.87; 0.50;     ;  -8;   16;   0
1794; 13.37; 19.17;12.96; 0.52;     ;  34;    8;   0
1795; 13.44; 19.85;13.61; 0.69; 0.21; 117;   33;   0
1796; 14.15; 19.35;15.22; 0.61;     ;  -2;  -23;   0
1797; 14.21; 19.54;15.62; 0.49;     ;  14;  -54;   0
1798; 14.60; 19.09;14.28; 0.48;-0.13;  19;  -16;   0
1799; 14.98; 19.74;10.71; 0.56; 0.22; 395; -129;   0
1800; 15.73; 18.54;15.64; 0.16;     ; -48;   84;   0
1801; 16.16; 19.24;14.55; 0.40; 0.10; -54;   74;   0
1802; 16.16; 19.65;14.61; 0.84; 0.04; -20;   68;   0
1803; 11.56; 20.91;14.79; 0.56; 0.02; -20;  -24;   0
1804; 12.51; 20.59;14.40; 1.16;-0.03; -72;   65;   0
1805; 12.75; 20.79;12.24; 0.61; 0.23;  61;  -48;   0
1806; 12.89; 21.00;13.39; 0.46; 0.08; -20;  -18;   0
1807; 13.68; 20.34;14.95; 0.51; 0.00; -54;   29;   0
1808; 13.97; 20.48;12.27; 0.35; 0.21;  10;   26;   0
1809; 14.60; 20.24;14.64; 0.98;     ;   0;   34;   0
1810; 15.63; 21.35;14.55; 0.84;     ;  17;  -52;   0
1811; 21.03; 16.82;14.69; 0.95;     ; 236;   70;   0
1812; 20.85; 17.51;15.20; 0.67;     ; -42;   42;   0
1813; 18.50; 17.69;14.93; 0.99;     ;   9;  -32;   0
1814; 19.19; 18.03;14.28; 0.65; 0.23;  19;  -13;   0
1815; 19.20; 18.19;14.11; 2.28;     ;  36;   30;   0
1816; 20.08; 18.09;13.34; 0.36; 0.13;  31;   14;   0
1817; 20.47; 17.98;15.29; 0.61;     ; -31;  -20;   0
1818; 19.13; 18.94;15.31; 0.80;     ;  30;   70;   0
1819; 17.00; 19.80;15.16; 1.09;     ;-119;  -23;   0
1820; 16.30; 20.78;14.67; 1.09;     ; -30;  -34;   0
1821; 16.45; 21.11;13.23; 0.65; 0.21;  26;  -17;   0
1822; 17.22; 20.88;15.37; 0.59;     ;  16;   72;   0
1823; 18.96; 20.32;14.06; 1.55;     ; -66;  -34;   0
1824; 19.57; 20.46;11.72; 0.35; 0.03;  51;  -16;   0
1825; 24.02; 16.69;     ;     ;     ;  29;   42;   0
1826; 21.55; 17.58;15.43; 0.45;     ;  86;   50;   0
1827; 22.09; 17.63;     ;     ;     ;  29;   82;   0
1828; 22.14; 17.92;     ;     ;     ;   6;   55;   0
1829; 23.64; 17.93;     ;     ;     ;  75;  124;   0
1830; 23.65; 17.79;     ;     ;     ; 100;   30;   0
1831; 23.75; 17.62;     ;     ;     ; -56;   42;   0
1832; 24.96; 17.71;     ;     ;     ; -71;   64;   0
1833; 25.79; 17.16;     ;     ;     ; -38;   73;   0
1834; 25.82; 17.66;     ;     ;     ;  -9;   22;   0
1835; 22.76; 19.45;     ;     ;     ;  67;   25;   0
1836; 23.70; 19.17;     ;     ;     ; 116;   35;   0
1837; 24.00; 19.26;     ;     ;     ;  40;   42;   0
1838; 25.48; 18.94;     ;     ;     ;  23;   40;   0
1839; 22.23; 21.25;     ;     ;     ;  -6;   12;   0
1840; 22.48; 20.39;     ;     ;     ;   2;   21;   0
1841; 23.10; 20.48;     ;     ;     ; 164;   72;   0
1842; 23.41; 21.00;     ;     ;     ;  32;   -9;   0
1843; 23.58; 20.51;     ;     ;     ;  35;   46;   0
1844; 23.94; 20.28;     ;     ;     ;   6;    8;   0
1845; 24.23; 20.28;     ;     ;     ; -49;    8;   0
1846; 24.11; 20.65;     ;     ;     ;-102;  -35;   0
1847; 24.09; 20.97;     ;     ;     ; 133;   12;   0
1848; 23.93; 21.38;     ;     ;     ; -30;  -57;   0
1849; 25.12; 20.93;     ;     ;     ; -43;  -74;   0
1850; 25.74; 21.28;     ;     ;     ; 123; -121;   0
1851; 27.30; 16.81;     ;     ;     ; -70;   46;   0
1852; 28.42; 16.81;     ;     ;     ; -54;   81;   0
1853; 28.99; 17.14;     ;     ;     ; -30;    6;   0
1854; 29.30; 17.29;     ;     ;     ;-108;   96;   0
1855; 26.82; 17.62;     ;     ;     ;   2;  -89;   0
1856; 31.29; 17.39;     ;     ;     ; -60;   70;   0
1857; 28.33; 18.03;     ;     ;     ;-105;   68;   0
1858; 28.37; 18.49;     ;     ;     ;-102;   18;   0
1859; 28.57; 18.72;     ;     ;     ;-118;   58;   0
1860; 30.94; 18.59;     ;     ;     ; -48;   32;   0
1861; 26.35; 19.16;     ;     ;     ; -52;   47;   0
1862; 26.91; 20.14;     ;     ;     ; -90;   35;   0
1863; 27.51; 20.89;     ;     ;     ; -38;   59;   0
1864; 27.85; 21.50;     ;     ;     ;-178;  -92;   0
1865; 28.34; 20.40;     ;     ;     ; -77;    0;   0
1866; 28.60; 20.72;     ;     ;     ; -68;   10;   0
1867; 29.12; 20.81;     ;     ;     ; -93;   47;   0
1868; 30.26; 19.64;     ;     ;     ; -76;   20;   0
1869; 30.07; 20.31;     ;     ;     ;-138;   -1;   0
1870; 30.86; 20.47;     ;     ;     ;-130;    7;   0
1871; 29.88; 21.34;     ;     ;     ; -40;    0;   0
1872; 30.94; 21.63;     ;     ;     ;-103;  -66;   0
1873;-23.83; 21.12;13.54; 1.37;     ; 392; -212;   0
1874;-23.86; 21.75;13.73; 2.11;     ;  49;  -30;   0
1875;-26.62; 21.78;     ;     ;     ; 246;   64;   0
1876;-26.35; 22.36;14.87; 0.86;-0.29; -66;    4;   0
1877;-28.39; 24.46;     ;     ;     ;  16;   45;   0
1878;-26.59; 23.77;     ;     ;     ;  55;   -2;   0
1879;-23.94; 23.44; 9.82; 1.35; 0.76;-121;  -43;   0
1880;-19.35; 21.21;12.93; 1.17;     ; -54;   55;   0
1881;-20.38; 22.38;13.08; 1.79; 0.00; -28;    2;   0
1882;-18.98; 22.15;14.19; 0.74;     ; -53;  -38;   0
1883;-19.07; 22.67;12.04; 2.73;     ; -35;  -44;   0
1884;-19.21; 22.95;     ;     ;     ; -85;  136;   0
1885;-23.17; 23.04;13.03; 0.75; 0.54; -41;    0;   0
1886;-20.69; 24.26;15.03; 0.97;-0.53;-138;  -32;   0
1387;-19.42; 24.62;13.78; 0.85;     ;-157;  -30;   0
1888;-16.56; 20.79;12.64; 0.64; 0.23; -66;  -17;   0
1889;-15.89; 21.86;11.88; 0.57; 0.23; -83;   28;   0
1890;-15.16; 22.39;14.14; 0.78; 0.06;-134;   41;   0
1891;-17.42; 22.05;15.37; 0.58;     ;-132;    9;   0
1892;-17.55; 23.38;14.92; 1.18;     ;-104;  -90;   0
1893;-16.81; 23.08;15.06; 0.59;     ; -94;   18;   0
1894;-16.97; 24.41;14.89; 0.86;     ; -87;  -28;   0
1895;-15.73; 24.31;13.57; 1.19; 0.47;-298; -184;   0
1896;-14.79; 25.00;15.26; 0.92;     ;-113;  -56;   0
1897;-14.70; 25.54;14.95; 1.17;     ; -48;  -77;   0
1898;-13.73; 21.60;14.22; 1.34;     ;-234;  132;   0
1899;-11.87; 21.62;15.20; 0.71;     ;-154;   25;   0
1900;-12.14; 22.66;15.14; 0.66;     ;-137;  -51;   0
1901;-11.29; 22.81;13.94; 0.89;     ;-139;   35;   0
1902;-11.89; 23.67;13.49; 0.76;     ; -94;  -62;   0
1903;-10.80; 23.45;15.02; 0.72;-0.11;-104;  -74;   0
1904; -4.40; 21.14;14.08; 0.65; 0.13;-130;   -8;   0
1905; -4.98; 21.56;14.00; 1.83;     ; -83;   67;   0
1906; -5.61; 21.86;15.05; 0.60;-0.15;-173;  -66;   0
1907; -5.71; 22.71;13.46; 0.81;     ; -73;  -35;   0
1908; -7.13; 23.96;15.22; 0.71;     ; -92;   32;   0
1909; -6.41; 23.96;15.38; 0.84;     ; -45;   67;   0
1910; -5.25; 23.96;14.16; 1.03;     ; -44;  -52;   0
1911; -8.40; 24.86;15.04; 1.01;     ;-160;  -57;   0
1912; -5.24; 25.47;13.10; 0.88;     ;  50;    7;   0
1913; -3.28; 22.14;13.28; 0.67; 0.17; -52;  -15;   0
1914; -2.69; 21.37;12.58; 0.86; 0.15;  -3;  -90;   0
1915; -2.65; 21.54;12.90; 0.70; 0.33; -56;  -34;   1
1916; -2.56; 21.87;14.97; 0.57;-0.13;-122;  -61;   0
1917; -1.84; 21.04;13.28; 0.97; 0.07;  85;   34;   0
1918; -1.87; 21.54;14.56; 0.76;-0.01; -95;  -15;   1
1919; -1.17; 21.38;14.38; 1.06; 0.14; -28;  -32;   0
1920; -1.38; 22.25;14.72; 1.11;-0.12; -34;  -54;   0
1921; -1.29; 22.65;14.92; 0.97;-0.33;-153;  -12;   0
1922; -2.76; 23.98;15.09; 0.89;-0.07; -93;  -30;   1
1923; -2.57; 23.74;14.12; 0.72; 0.22; -94; -777;   1
1924; -1.62; 23.39;14.33; 1.83;     ;-128;  -10;   0
1925; -0.70; 23.60;14.47; 1.00;-0.12;-176;    4;   0
1926; -0.44; 23.50;15.15; 0.93;-0.22; -34;  -62;   0
1927; -3.38; 25.42;14.00; 0.77; 0.33; -77;  -69;   0
1928; -0.30; 25.55; 9.09; 0.60;     ; -63;  -54;   1
1929;  0.10; 25.65;13.85; 1.11; 0.84; -33;  -81;   0
1930;  1.06; 24.78;12.38; 1.58; 0.14;   8;  -43;   0
1931;  4.99; 21.54;14.33; 0.53;     ;-133;   -8;   0
1932;  5.03; 21.68;13.70; 0.64;     ; -84;  -10;   1
1933;  4.82; 22.27;13.66; 1.84;     ; -84;  -52;   0
1934;  4.13; 22.74;14.76; 0.72; 0.09; -36;  -37;   1
1935;  4.19; 23.11;12.36; 0.48; 0.05; -80;  -34;   1
1936;  6.02; 23.01;14.95; 0.85;-0.17; -36;  -19;   1
1937;  2.62; 23.36;13.64; 0.54;-0.13; -76;  -10;   0
1938;  2.41; 23.83;13.82; 0.64; 0.00; -81;  -17;   1
1939;  3.39; 23.78;15.06; 0.91;-0.20; -88;  -89;   1
1940;  3.65; 23.48;15.42; 1.00;-0.71;  -6;   62;   0
1941;  4.17; 23.57;15.02; 0.84;-0.66;-100;   -6;   0
1942;  4.04; 23.87;10.60; 0.53;     ; -98;  -44;   1
1943;  4.07; 24.12;13.49; 1.72; 0.31; -76;  -26;   0
1944;  4.43; 23.62;14.86; 0.67;-0.31;-109;   -2;   1
1945;  5.35; 23.74;14.40; 1.10;-0.12; 124;  248;   0
1946;  5.57; 23.95;15.04; 0.52; 0.04;-128;    4;   0
1947;  1.38; 24.98;14.52; 1.18;-0.27; -99; -109;   0
1948;  1.62; 24.86;13.54; 0.54; 0.20;-108;  -73;   1
1949;  2.26; 25.23;13.72; 1.01;     ; -90;    0;   0
1950;  2.31; 25.30;13.55; 1.02;     ;-119;  -35;   0
1951;  3.13; 25.39;14.66; 1.24; 0.08;  -9;  -56;   0
1952;  3.66; 25.35;13.60; 2.19; 0.23; -71;    8;   0
1953;  4.11; 25.02;11.92; 0.54; 0.34; -79;  -87;   1
1954;  4.75; 24.84;11.54; 0.51; 0.49; -82;  -48;   1
1955;  5.04; 24.68;12.50; 0.87; 0.21;-167; -105;   0
1956;  5.00; 25.45;13.80; 1.07; 0.11; -74; -111;   0
1957;  4.39; 25.89;15.18; 0.89;-0.18;   0;  -30;   1
1958;  4.60; 26.08;14.54; 1.13;-0.13; -16; -136;   0
1959;  6.42; 21.81;13.80; 0.42;-0.10; -29;   36;   0
1960; 10.83; 21.58;13.20; 2.22; 0.79; -18;   58;   0
1961;  7.54; 22.70;14.30; 1.57;-0.08; -94;  -36;   0
1962;  8.29; 22.88;15.38; 0.52;-0.28;-138;   72;   0
1963;  8.59; 22.64;12.54; 0.72; 0.26;  15;  -58;   0
1964;  8.96; 22.47;13.48; 0.59; 0.25;-120;  -45;   1
1965;  8.03; 24.63;13.82; 1.09; 0.11;-178; -266;   0
1966;  8.52; 24.80;13.19; 1.43; 0.79; 586;  116;   0
1967;  8.44; 24.94;13.72; 1.51; 0.75; 493;  144;   0
1968;  6.48; 25.20;15.44; 0.65;-0.17; -50;  -11;   0
1969;  7.01; 25.68;12.60; 0.35;-0.04; -82;  -78;   0
1970;  9.27; 25.67;10.46; 0.65; 0.19;-185;  -54;   0
1971;  9.64; 25.07;14.52; 0.82;     ; -78;  -12;   1
1972;  9.73; 24.94;14.06; 1.32;-0.04; -94;  -14;   0
1973; 11.86; 22.01;14.00; 0.49; 0.43;  30;    9;   0
1974; 13.12; 22.01;15.29; 0.37;     ; -54;  -50;   0
1975; 15.45; 21.59;12.79; 1.84;     ; -35;   -2;   0
1976; 11.35; 22.65;13.78; 1.73;     ; -22;  -23;   0
1977; 11.55; 22.88;13.68; 1.91;     ; -10;    4;   0
1978; 11.59; 24.49;12.26; 0.59;     ;   3;  -30;   0
1979; 11.44; 24.11;13.61; 0.47;     ; -48;  -13;   0
1980; 11.77; 23.78;14.48; 0.53; 0.17;   1;    7;   0
1981; 12.07; 23.59;15.00; 0.36; 0.15; -50;  -12;   0
1982; 11.21; 25.68;15.19; 0.78;     ; -86; -102;   0
1983; 12.88; 25.55;13.73; 1.39; 0.37; -50;  -28;   0
1984; 14.58; 24.78;13.79; 1.62;     ;-108;  -62;   0
1985; 14.95; 24.99;13.78; 0.82;     ; -49;  -95;   0
1986; 15.26; 24.57;14.40; 0.88;     ; -71;   30;   0
1987; 15.41; 24.47;14.85; 0.57;     ; -38;  -58;   0
1988; 19.09; 21.76;15.03; 0.90;     ;  32;   32;   0
1989; 17.54; 22.71;13.49; 0.78;     ; -36;  -90;   0
1990; 18.70; 22.36;14.61; 1.34;     ; 199;  -50;   0
1991; 21.08; 23.31;14.93; 0.94;     ;   8;   76;   0
1992; 16.21; 24.28;14.68; 0.88;     ;   9;    1;   0
1993; 18.05; 24.79;14.18; 1.14;     ; -43; -148;   0
1994; 19.02; 24.80;15.01; 0.97;     ;   6;  -20;   0
1995; 21.09; 24.38;14.31; 0.81;     ; 113;  -34;   0
1996; 16.28; 25.64;15.17; 0.82;     ; -60;  -10;   0
1997; 16.29; 26.12;15.31; 0.46;     ; -24;    7;   0
1998; 20.29; 25.29;14.37; 0.73; 0.38; -26;   -2;   0
1999; 19.98; 26.12;14.55; 0.85; 0.07;  -2;  -82;   0
2000; 22.02; 22.47;15.45; 0.91;     ; -82;  140;   0
2001; 22.48; 22.20;     ;     ;     ;  -2;   48;   0
2002; 23.05; 22.41;     ;     ;     ; -12; -100;   0
2003; 25.08; 21.92;     ;     ;     ;-108;   78;   0
2004; 25.07; 22.28;     ;     ;     ;  10;  -37;   0
2005; 23.78; 23.68;     ;     ;     ;  28;  -76;   0
2006; 23.94; 23.56;     ;     ;     ;  44;    3;   0
2007; 24.34; 23.10;     ;     ;     ; -84;  -50;   0
2008; 25.59; 23.58;     ;     ;     ; -85;  -70;   0
2009; 22.79; 24.15;     ;     ;     ;-112;   -5;   0
2010; 21.40; 24.80;14.98; 0.44; 0.01; -62;   16;   0
2011; 21.66; 24.67;14.94; 0.73;     ; -94;  -55;   0
2012; 23.69; 25.23;     ;     ;     ;-142; -184;   0
2013; 23.80; 26.45;     ;     ;     ;  39;  -95;   0
2014; 25.23; 24.58;     ;     ;     ;  -6;  -66;   0
2015; 28.44; 22.20;     ;     ;     ; -46;   -3;   0
2016; 28.79; 21.69;     ;     ;     ; -44;  -99;   0
2017; 29.70; 21.94;     ;     ;     ;-124;  -99;   0
2018; 30.28; 21.80;     ;     ;     ;-110;   27;   0
2019; 30.57; 22.10;     ;     ;     ;-119;  -38;   0
2020; 27.30; 22.79;     ;     ;     ;  47;  -59;   0
2021; 27.23; 23.01;     ;     ;     ; -93;   30;   0
2022; 27.46; 23.26;     ;     ;     ;-103;  -28;   0
2023; 28.23; 22.95;     ;     ;     ; 117; -109;   0
2024; 29.07; 23.42;     ;     ;     ;-106;  -62;   0
2025; 29.87; 23.35;     ;     ;     ; -17;  -54;   0
2026; 28.21; 24.46;     ;     ;     ;-108;   -6;   0
2027; 28.95; 24.15;     ;     ;     ; -12;  -42;   0
2028; 28.51; 25.41;     ;     ;     ;-147;   -4;   0
2029; 29.71; 25.13;     ;     ;     ; -13;  -14;   0
2030; 29.57; 25.38;     ;     ;     ; -73;  -65;   0
2031; 29.84; 25.79;     ;     ;     ;-106;  -30;   0
2032; 29.36; 26.23;     ;     ;     ; -46;  -18;   0
2033; 29.61; 26.58;     ;     ;     ; -72;  -92;   0
2034;-24.54; 27.46;     ;     ;     ; -60;  -41;   0
2035;-27.76; 28.94;     ;     ;     ; -86; -158;   0
2036;-27.30; 28.63;     ;     ;     ; 150;  -73;   0
2037;-27.66; 30.49;     ;     ;     ;  -1;  -90;   0
2038;-27.04; 30.20;     ;     ;     ; -14;  -76;   0
2039;-26.58; 29.64;     ;     ;     ; -92;  -28;   0
2040;-25.75; 29.18;     ;     ;     ; 100;  -60;   0
2041;-24.26; 29.70;     ;     ;     ; -99; -104;   0
2042;-23.73; 29.68;     ;     ;     ;-241; -160;   0
2043;-22.31; 29.25;     ;     ;     ;  -5; -135;   0
2044;-21.43; 30.34;     ;     ;     ;-122;  -88;   0
2045;-19.37; 30.17;     ;     ;     ;-112; -173;   0
2046;-19.14; 30.51;     ;     ;     ;  23; -121;   0
2047;-18.21; 25.90;     ;     ;     ;-109;  -51;   0
2048;-18.68; 27.15;     ;     ;     ; -86;  -18;   0
2049;-18.38; 26.85;     ;     ;     ; -84;  -80;   0
2050;-15.99; 26.59;15.05; 0.56;     ;  16;  -27;   0
2051;-15.37; 27.28;12.51; 0.55;     ;-137; -153;   0
2052;-14.10; 27.19;13.09; 0.97;     ; 348;  219;   0
2053;-18.30; 29.78;     ;     ;     ;-145; -202;   0
2054;-18.06; 30.40;     ;     ;     ;-130; -168;   0
2055;-17.25; 30.31;     ;     ;     ;-102;  -94;   0
2056;-16.61; 30.40;     ;     ;     ;-111; -157;   0
2057;-16.78; 29.37;     ;     ;     ;-169; -115;   0
2058;-12.25; 25.93;14.74; 0.58;     ; -76;   32;   0
2059;-10.54; 25.99;14.66; 0.70;     ;-160;   32;   0
2060;-13.23; 27.62;15.12; 0.73;     ;-102; -134;   0
2061;-10.57; 27.51;14.98; 0.87;     ; -59; -146;   0
2062; -9.26; 27.15;15.02; 0.94;     ;-278;   26;   0
2063;-11.31; 28.49;     ;     ;     ;-193;  -90;   0
2064;-11.24; 29.21;     ;     ;     ;-149; -142;   0
2065; -9.59; 30.82;     ;     ;     ;-146; -194;   0
2066; -6.02; 26.55; 7.76; 9.99;     ; 181;  -48;   0
2067; -7.95; 27.38;14.19; 0.84;     ; -90;  -74;   0
2068; -5.58; 28.86;12.90; 1.01;     ; 176; -131;   0
2069; -7.81; 30.48;     ;     ;     ; -78;  221;   0
2070; -7.19; 30.04;     ;     ;     ;-100; -164;   0
2071; -5.50; 29.69;     ;     ;     ;-122; -113;   0
2072; -5.41; 30.08;     ;     ;     ; -68; -174;   0
2073; -5.35; 30.94;     ;     ;     ; 193; -116;   0
2074; -4.78; 30.83;     ;     ;     ;-142; -154;   0
2075; -4.30; 30.63;     ;     ;     ;-164; -158;   0
2076; -0.16; 26.85;14.48; 0.85; 0.06;-104;    8;   0
2077; -0.09; 26.63;15.31; 0.60; 0.01; -92;  -36;   0
2078;  0.08; 26.88;15.59; 0.49;     ;-109;   -6;   0
2079;  0.21; 26.22;15.38; 0.66;     ;-107;  -50;   0
2080;  0.59; 26.42;13.72; 0.60;     ;-103; -106;   0
2081;  0.68; 26.35;13.92; 0.33;     ;-102;  -65;   0
2082; -1.09; 27.24;13.71; 1.83; 0.20; -64;  -72;   0
2083; -1.22; 28.11;13.80; 0.66; 0.24; -93;  -46;   1
2084; -1.96; 28.68;15.01; 0.70;-0.16;-101;    4;   0
2085; -2.73; 29.41;     ;     ;     ;-116; -152;   0
2086; -2.66; 29.55;     ;     ;     ;-148; -139;   0
2087; -0.29; 29.18;     ;     ;     ;-111; -118;   0
2088;  0.08; 30.06;     ;     ;     ;-100; -148;   0
2089;  1.20; 27.12;14.90; 1.18;     ; -33;   26;   0
2090;  2.38; 26.69;10.73; 0.45;-0.20; -93;  -68;   1
2091;  4.64; 26.51;15.13; 0.96;-0.34;  13;  -18;   0
2092;  5.63; 26.59;14.46; 0.75;     ;-100;  -80;   1
2093;  1.10; 29.67;     ;     ;     ;-103;  -77;   0
2094;  2.87; 30.04;     ;     ;     ;-133; -137;   0
2095;  4.52; 29.48;     ;     ;     ; -98;  -86;   0
2096;  4.55; 30.20;     ;     ;     ;-120; -109;   0
2097;  5.51; 30.39;     ;     ;     ;-148;  -70;   0
2098;  6.45; 26.79;13.53; 1.87; 0.51; -48; -115;   0
2099;  7.45; 27.17;14.76; 0.99; 0.03;-105;   -3;   0
2100;  8.00; 26.96;13.84; 1.73; 0.14;-135; -129;   0
2101;  8.49; 27.48;14.33; 0.40; 0.23;-151; -128;   0
2102;  9.19; 27.37;13.38; 2.51;     ;-182;  -16;   0
2103;  9.84; 26.89;15.60; 0.26;-0.38; -50;  -90;   0
2104;  9.87; 26.97;14.99; 0.40;-0.21;-110;  -40;   0
2105; 10.51; 27.62;14.37; 0.73; 0.45; -93;   -6;   1
2106; 10.85; 27.33;12.38; 0.65; 0.39;  96;  -60;   0
2107;  6.91; 29.80;     ;     ;     ;-170; -153;   0
2108;  6.87; 30.39;     ;     ;     ;-115;  -62;   0
2109;  7.95; 29.83;     ;     ;     ; -96;  -15;   0
2110;  8.08; 29.40;     ;     ;     ;-176;  -93;   0
2111;  9.12; 29.84;     ;     ;     ;-112;  -90;   0
2112;  8.82; 30.49;     ;     ;     ;-110;  -44;   0
2113;  9.54; 30.75;     ;     ;     ; -62; -103;   0
2114; 10.05; 30.86;     ;     ;     ;-148;  -96;   0
2115; 11.96; 27.49;15.23; 0.70;     ; -92;  -37;   0
2116; 12.87; 27.07;14.23; 1.13;     ;  11;  -78;   0
2117; 12.80; 27.61;14.94; 0.41; 0.01; -35;  -48;   0
2118; 13.37; 27.65;12.84; 0.89; 0.19; -73; -198;   0
2119; 15.41; 27.86;13.65; 1.72;     ; -75;  -49;   0
2120; 11.38; 28.63;     ;     ;     ;-169;  -67;   0
2121; 11.52; 28.54;     ;     ;     ; -39;  -97;   0
2122; 15.88; 28.74;     ;     ;     ;  84;  -46;   0
2123; 16.05; 28.87;     ;     ;     ; -49; -111;   0
2124; 11.11; 29.67;     ;     ;     ; 287; -114;   0
2125; 11.10; 30.78;     ;     ;     ; 184;  -82;   0
2126; 12.10; 30.20;     ;     ;     ;-134; -115;   0
2127; 14.26; 30.31;     ;     ;     ; -86; -119;   0
2128; 15.30; 29.97;     ;     ;     ; -25; -131;   0
2129; 15.43; 30.35;     ;     ;     ; -32;  -92;   0
2130; 16.75; 27.17;13.10; 0.66; 0.28; -12;   -8;   0
2131; 17.67; 26.99;12.43; 1.76; 1.32; -27;  -61;   0
2132; 18.40; 27.19;14.74; 0.41;     ; -14;  -22;   0
2133; 20.35; 27.36;14.79; 0.70;     ; -58;  -98;   0
2134; 19.83; 28.41;     ;     ;     ;  94;   -1;   0
2135; 20.32; 28.69;     ;     ;     ; -49;  -78;   0
2136; 21.05; 28.72;     ;     ;     ; 324;   -5;   0
2137; 16.34; 28.83;     ;     ;     ;  14;  -90;   0
2138; 17.27; 28.94;     ;     ;     ;  82;    2;   0
2139; 16.16; 29.99;     ;     ;     ;-110;  -66;   0
2140; 16.36; 29.59;     ;     ;     ; -84;   -1;   0
2141; 17.90; 29.56;     ;     ;     ; -16;  -72;   0
2142; 18.50; 29.69;     ;     ;     ;  10; -188;   0
2143; 16.37; 31.25;     ;     ;     ; -24;  -95;   0
2144; 20.03; 30.31;     ;     ;     ;  16; -139;   0
2145; 20.72; 30.05;     ;     ;     ;  60; -156;   0
2146; 21.51; 26.50;15.34; 0.64;     ; -60;  -42;   0
2147; 21.76; 27.64;     ;     ;     ; -65;  -36;   0
2148; 22.26; 28.04;     ;     ;     ; -24; -142;   0
2149; 24.48; 28.75;     ;     ;     ;  42;  -57;   0
2150; 24.38; 28.74;     ;     ;     ;-121; -104;   0
2151; 25.51; 28.49;     ;     ;     ; -98;   64;   0
2152; 21.97; 29.26;     ;     ;     ; -42;  -36;   0
2153; 21.95; 30.15;     ;     ;     ; -28; -112;   0
2154; 21.52; 30.69;     ;     ;     ;-171; -127;   0
2155; 24.48; 30.47;     ;     ;     ; -45;  -88;   0
2156; 24.54; 30.39;     ;     ;     ;-146; -212;   0
2157; 24.98; 30.19;     ;     ;     ; -74;  -42;   0
2158; 27.95; 26.95;     ;     ;     ;-120;    9;   0
2159; 28.07; 26.73;     ;     ;     ; -85;   19;   0
2160; 26.37; 28.59;     ;     ;     ;  -5;  -14;   0

