#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:53:25 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:53:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/other/ASpR/58.1900/table3&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1057005801
#Name: J/other/ASpR/58.1900
#Title: NGC 225 CCD UBV photometry (Bilir+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/other/aspr/58.1900	    IVOID of underlying data collection
#INFO	creator=Bilir S.	    First author or institution
#INFO	cites=bibcode:2016AdSpR..58.1900B	    Article or Data origin sources
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/ASpR/58.1900	    Dataset landing page
#INFO	publication_date=2016-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_ASpR_58_1900_table3:
#Name: J/other/ASpR/58.1900/table3
#Title: Photometric and astrometric catalogue NGC 225
#Column	ID	(I4)	Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F5.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;pmRA;e_pmRA;pmDE;e_pmDE;Pmemb
 842;00 44 48.08;+61 39 08.08;17.708; 0.025; 0.674; 0.096; 1.279; 0.043; -5.6; 3.8;-10.7; 3.9; 17
 843;00 44 48.23;+61 49 35.49;16.813; 0.014; 0.701; 0.052; 1.408; 0.025; -1.5; 3.8; -0.7; 3.8; 84
 844;00 44 48.62;+61 44 55.65;18.424; 0.040; 0.891; 0.200; 1.346; 0.074; -0.9; 3.9;-12.4; 3.9;  8
 845;00 44 49.02;+61 47 40.17;18.961; 0.061;-0.219; 0.238; 1.783; 0.146; -3.8; 3.9; -7.9; 3.9; 38
 846;00 44 49.33;+61 47 01.72;16.300; 0.010; 0.687; 0.033; 1.279; 0.017; -2.3; 3.8; -1.9; 3.8; 86
 847;00 44 49.43;+61 52 46.57;18.863; 0.059;      ;      ; 1.638; 0.133;  2.5; 5.1;  2.3; 5.1; 62
 848;00 44 49.93;+61 40 51.14;18.933; 0.062;      ;      ; 1.427; 0.122; -8.2; 4.4;  4.1; 4.4; 73
 849;00 44 49.98;+61 50 56.42;18.639; 0.049; 0.919; 0.212; 1.123; 0.080;  2.1; 3.9; -0.9; 3.9; 50
 850;00 44 49.99;+61 42 06.29;17.156; 0.017; 0.296; 0.037; 0.863; 0.025; -3.4; 3.9; -2.4; 3.9; 88
 851;00 44 50.10;+61 37 44.97;18.591; 0.049; 0.464; 0.149; 1.046; 0.078;  4.5; 3.9; -2.0; 3.9; 27
 852;00 44 50.17;+61 56 30.51;15.331; 0.006; 1.234; 0.024; 1.330; 0.010;  6.7; 3.8; -5.2; 3.8;  9
 853;00 44 50.29;+61 50 44.88;17.251; 0.018; 1.000; 0.130; 1.900; 0.042; -4.1; 3.8; -2.6; 3.8; 88
 854;00 44 50.70;+61 56 16.57;17.849; 0.027; 0.295; 0.075; 1.064; 0.044;  2.4; 3.9; -2.2; 3.9; 44
 855;00 44 50.78;+61 52 14.19;16.903; 0.014; 0.429; 0.041; 1.138; 0.023; -1.4; 3.8; -5.6; 3.8; 50
 856;00 44 51.32;+61 43 17.49;18.344; 0.038; 0.735; 0.169; 1.313; 0.069; -2.7; 3.9; -2.1; 3.9; 87
 857;00 44 51.71;+61 42 08.93;16.577; 0.012; 0.582; 0.034; 1.113; 0.019; -1.4; 3.8; -1.7; 3.8; 80
 858;00 44 51.88;+61 41 29.00;17.555; 0.023;      ;      ; 2.004; 0.055; -0.3; 5.1; -1.1; 5.1; 84
 859;00 44 52.00;+61 46 40.35;18.211; 0.035; 0.722; 0.152; 1.360; 0.064; -0.2; 3.9;-10.4; 3.9; 14
 860;00 44 52.37;+61 45 58.63;18.165; 0.033; 0.432; 0.123; 1.366; 0.062;  2.4; 3.9; -1.9; 3.9; 45
 861;00 44 52.67;+61 52 41.84;16.451; 0.011; 0.467; 0.024; 0.786; 0.016; -3.5; 3.8; -2.3; 3.8; 89
 862;00 44 53.04;+61 43 45.82;18.237; 0.035; 0.664; 0.112; 0.994; 0.055; -2.5; 4.0;  0.5; 4.0; 93
 863;00 44 53.20;+61 53 14.96;13.940; 0.003; 0.122; 0.005; 0.693; 0.004; -9.0; 3.8;  6.1; 3.8; 44
 864;00 44 53.39;+61 41 41.30;12.839; 0.002; 0.109; 0.003; 0.675; 0.002; 37.9; 2.8;  3.1; 2.8;  0
 865;00 44 53.44;+61 52 53.58;14.643; 0.004; 1.105; 0.016; 1.528; 0.007; -2.7; 3.8; -1.2; 3.8; 91
 866;00 44 53.75;+61 43 29.11;14.498; 0.004; 0.792; 0.010; 0.962; 0.006; -3.0; 3.8; -2.2; 3.8; 88
 867;00 44 53.92;+61 54 44.52;17.691; 0.025;      ;      ; 1.624; 0.051; -3.5; 3.8;  0.7; 3.8; 97
 868;00 44 54.07;+61 52 07.64;18.932; 0.064;      ;      ; 1.481; 0.126; -0.1; 3.9;-10.5; 3.9; 14
 869;00 44 54.21;+61 45 20.98;18.095; 0.031; 0.619; 0.099; 1.022; 0.050; -3.2; 4.0;  1.1; 4.0; 96
 870;00 44 54.28;+61 54 53.58;17.806; 0.026; 0.519; 0.083; 1.091; 0.043;  0.1; 3.9;  2.8; 3.9; 65
 871;00 44 54.29;+61 46 04.86;18.585; 0.044; 0.593; 0.136; 0.956; 0.069; -0.5; 4.1;  5.5; 4.1; 55
 872;00 44 54.29;+61 54 10.04;18.299; 0.038; 0.308; 0.111; 1.106; 0.063; -0.4; 4.2; -3.3; 4.2; 68
 873;00 44 54.37;+61 48 30.88;19.361; 0.086;      ;      ; 1.288; 0.157;  3.9; 4.3;  0.9; 4.3; 41
 874;00 44 54.75;+61 40 56.64;18.746; 0.053; 0.933; 0.290; 1.358; 0.098; -1.0; 3.9; -2.4; 3.9; 74
 875;00 44 54.83;+61 55 27.51;18.179; 0.036;      ;      ; 2.022; 0.095; -1.3; 3.8;  2.1; 3.8; 79
 876;00 44 54.91;+61 43 24.68;16.410; 0.011; 0.508; 0.029; 1.075; 0.017;  6.1; 3.8; -5.9; 3.8;  9
 877;00 44 55.00;+61 44 51.22;19.024; 0.064;      ;      ; 1.212; 0.112; -2.8; 5.2; -2.9; 5.2; 90
 878;00 44 55.08;+61 48 09.18;18.788; 0.054;      ;      ; 2.003; 0.145;  2.6; 5.1;  0.7; 5.1; 63
 879;00 44 55.39;+61 39 40.32;18.005; 0.031; 0.521; 0.103; 1.170; 0.051;  3.6; 3.9; -4.5; 3.9; 26
 880;00 44 55.43;+61 54 46.27;18.944; 0.066; 0.935; 0.288; 0.859; 0.098;  2.6; 4.4;  2.5; 4.4; 51
 881;00 44 55.47;+61 53 13.17;16.266; 0.010; 0.438; 0.027; 1.163; 0.016; -1.1; 3.8;  4.2; 3.8; 64
 882;00 44 55.54;+61 55 10.75;17.828; 0.027; 0.621; 0.104; 1.254; 0.047; -4.2; 3.9; -4.1; 3.9; 76
 883;00 44 55.59;+61 45 03.45;14.440; 0.004; 0.050; 0.006; 0.625; 0.005;-11.8; 3.8; -1.0; 3.8; 45
 884;00 44 55.75;+61 56 48.48;14.545; 0.004; 0.989; 0.013; 1.406; 0.006;  0.2; 3.8;  0.4; 3.8; 69
 885;00 44 55.81;+61 48 21.98;18.855; 0.056; 0.697; 0.250; 1.311; 0.103; -1.7; 5.1;  3.9; 5.1; 82
 886;00 44 55.85;+61 54 26.42;16.690; 0.013; 0.468; 0.035; 1.107; 0.020;  3.4; 3.8; -1.2; 3.8; 35
 887;00 44 56.10;+61 53 53.19;16.371; 0.010; 0.391; 0.026; 1.002; 0.016; -0.4; 3.8; -1.2; 3.8; 73
 888;00 44 56.12;+61 52 10.23;14.828; 0.004; 0.021; 0.008; 0.697; 0.006; -3.5; 3.8;  1.5; 3.8; 95
 889;00 44 56.50;+61 45 44.58;19.088; 0.067; 0.424; 0.204; 1.048; 0.110; -5.9; 4.0; -9.8; 4.0; 24
 890;00 44 56.54;+61 45 51.47;18.024; 0.030; 0.362; 0.096; 1.238; 0.052;  1.2; 3.9; -1.9; 3.9; 56
 891;00 44 56.60;+61 54 54.46;18.458; 0.043; 1.438; 0.300; 1.181; 0.074;  2.4; 4.0; -2.1; 4.0; 46
 892;00 44 56.70;+61 37 36.23;17.708; 0.025; 0.491; 0.073; 1.057; 0.040;  1.2; 3.9; -4.0; 3.9; 46
 893;00 44 56.76;+61 45 03.88;16.020; 0.009; 0.748; 0.024; 1.003; 0.013; 29.9; 5.1; -6.2; 5.1;  0
 894;00 44 56.90;+61 42 54.44;17.170; 0.017; 0.682; 0.053; 1.055; 0.027;  1.0; 3.8; -5.2; 3.9; 40
 895;00 44 57.23;+61 46 19.66;17.022; 0.016; 1.116; 0.083; 1.499; 0.029;  3.8; 3.8;  0.4; 3.8; 33
 896;00 44 57.43;+61 39 59.60;18.053; 0.032; 0.795; 0.143; 1.306; 0.057;  5.8; 3.9; -3.5; 3.9; 16
 897;00 44 57.46;+61 46 43.26;18.563; 0.045; 0.617; 0.185; 1.292; 0.081;  1.0; 4.0;  0.5; 4.0; 64
 898;00 44 57.52;+61 48 44.11;18.896; 0.058;      ;      ; 1.487; 0.119;  4.8; 3.9; -0.9; 3.9; 26
 899;00 44 57.84;+61 56 00.51;17.156; 0.017; 0.424; 0.036; 0.708; 0.023;  0.1; 3.9;  2.0; 3.9; 68
 900;00 44 57.91;+61 53 48.83;15.976; 0.009; 1.329; 0.059; 1.899; 0.018;  1.3; 3.8; -1.9; 3.8; 54
 901;00 44 58.07;+61 40 34.71;17.387; 0.020; 0.792; 0.069; 1.130; 0.032; -1.4; 3.8; -3.4; 3.8; 69
 902;00 44 58.09;+61 39 20.82;18.313; 0.038; 1.015; 0.201; 1.273; 0.068;  0.1; 3.9;  3.7; 3.9; 60
 903;00 44 58.11;+61 55 29.64;15.707; 0.007; 0.354; 0.014; 0.755; 0.010; -0.4; 3.8;  0.8; 3.8; 75
 904;00 44 58.30;+61 51 35.72;17.217; 0.018; 0.539; 0.053; 1.121; 0.029;-17.0; 5.1;  2.8; 5.1; 26
 905;00 44 58.33;+61 45 44.29;17.804; 0.025; 0.447; 0.071; 1.005; 0.040; -3.7; 4.0; -3.5; 4.0; 82
 906;00 44 58.88;+61 51 33.83;18.248; 0.037; 0.844; 0.686; 1.794; 0.085;-73.0; 5.2; 33.1; 5.1;  0
 907;00 44 59.06;+61 57 13.24;18.673; 0.051; 1.161; 0.254; 0.984; 0.080;  0.5; 4.0; -1.8; 4.0; 65
 908;00 44 59.19;+61 56 25.65;17.166; 0.017; 0.434; 0.041; 0.853; 0.025; -7.7; 5.1; 15.1; 5.1; 14
 909;00 44 59.38;+61 52 28.68;17.357; 0.020; 0.837; 0.084; 1.344; 0.034;  1.8; 3.8;  0.8; 3.8; 52
 910;00 44 59.51;+61 56 20.98;17.487; 0.021; 1.412; 0.125; 1.204; 0.035; 18.3; 3.8;-41.4; 3.9;  0
 911;00 44 59.52;+61 41 15.49;18.087; 0.033; 0.717; 0.266; 2.097; 0.091; 15.2; 3.8; -1.0; 3.8;  0
 912;00 44 59.71;+61 40 21.63;17.581; 0.022; 0.716; 0.077; 1.094; 0.036; -5.5; 3.9; -1.1; 3.9; 97
 913;00 44 59.81;+61 38 47.32;17.497; 0.021; 0.432; 0.058; 1.031; 0.033; -3.8; 3.9; -1.0; 3.9; 97
 914;00 45 00.01;+61 45 44.34;15.714; 0.007; 1.397; 0.043; 1.698; 0.014;-14.2; 3.8;  7.3; 3.8; 11
 915;00 45 00.02;+61 48 56.82;18.162; 0.034;      ;      ; 1.878; 0.083;  0.9; 3.8; -3.2; 3.8; 52
 916;00 45 00.03;+61 53 07.12;18.446; 0.042; 0.492; 0.132; 1.056; 0.068;  7.0; 4.0; -5.3; 4.0; 10
 917;00 45 00.08;+61 38 30.76;18.312; 0.040;      ;      ; 1.987; 0.103; -0.8; 3.8; -3.9; 3.8; 61
 918;00 45 00.21;+61 42 15.37;18.469; 0.043; 0.760; 0.200; 1.342; 0.078; -1.9; 3.9; -0.6; 3.9; 88
 919;00 45 00.48;+61 53 57.61;17.326; 0.019; 0.401; 0.044; 0.824; 0.027; -4.4; 3.9;  1.2; 3.9; 98
 920;00 45 00.64;+61 45 41.95;18.024; 0.030; 0.493; 0.102; 1.201; 0.052; 30.5; 5.2;-20.2; 5.2;  0
 921;00 45 00.68;+61 55 37.78;18.787; 0.057; 0.753; 0.182; 0.815; 0.084; -4.1; 4.3;  1.7; 4.3; 97
 922;00 45 00.83;+61 38 03.61;18.442; 0.043; 1.558; 0.290; 1.076; 0.069; -2.4; 3.9;  0.4; 3.9; 93
 923;00 45 01.08;+61 41 40.61;16.337; 0.010; 0.409; 0.026; 1.070; 0.016; -3.7; 3.8; -5.3; 3.8; 62
 924;00 45 01.27;+61 45 09.83;18.872; 0.058;-0.063; 0.151; 1.222; 0.100; -3.0; 4.1; -0.3; 4.1; 96
 925;00 45 01.61;+61 43 45.80;16.422; 0.011; 0.232; 0.022; 0.787; 0.015;  0.2; 3.8; -1.1; 3.8; 67
 926;00 45 01.68;+61 55 44.15;15.683; 0.007; 0.229; 0.012; 0.599; 0.009;  2.5; 3.8;  2.0; 3.8; 43
 927;00 45 01.79;+61 51 39.75;17.945; 0.030;      ;      ; 2.924; 0.144; -0.6; 6.1; -4.8; 6.1; 78
 928;00 45 02.05;+61 50 03.71;18.294; 0.037;      ;      ; 1.255; 0.065;  0.8; 3.9; -1.1; 3.9; 63
 929;00 45 02.05;+61 41 10.96;18.125; 0.033; 0.194; 0.108; 1.374; 0.062;  2.5; 3.9; -5.0; 3.9; 32
 930;00 45 02.43;+61 56 08.23;18.258; 0.037; 0.555; 0.137; 1.182; 0.064; -3.3; 4.0; -7.6; 4.0; 42
 931;00 45 02.61;+61 45 48.93;17.644; 0.023; 0.589; 0.067; 0.982; 0.036; -4.6; 3.9;  0.2; 3.9;100
 932;00 45 02.76;+61 48 47.45;17.331; 0.019; 1.401; 0.107; 1.274; 0.032;  7.9; 3.8;  6.6; 3.8;  5
 933;00 45 03.02;+61 38 21.19;18.785; 0.059; 0.041; 0.218; 1.582; 0.125;  3.6; 4.0; -6.1; 4.0; 22
 934;00 45 03.29;+61 44 17.43;17.249; 0.018; 0.655; 0.053; 1.015; 0.028; -5.6; 3.8;  0.2; 3.8; 99
 935;00 45 03.77;+61 48 23.43;17.710; 0.024; 0.695; 0.070; 0.904; 0.036; -5.4; 3.9;  1.1; 3.9; 98
 936;00 45 04.35;+61 44 28.50;14.369; 0.004; 1.338; 0.013; 1.193; 0.006; 10.2; 5.1;  8.2; 5.1;  9
 937;00 45 04.38;+61 46 23.34;18.222; 0.035; 1.300; 0.242; 1.389; 0.065; 50.7; 3.8;-11.2; 3.8;  0
 938;00 45 04.52;+61 49 38.14;15.424; 0.006; 0.660; 0.016; 1.065; 0.009; -1.8; 3.8;  4.0; 3.8; 70
 939;00 45 04.54;+61 46 03.21;15.496; 0.006; 0.379; 0.015; 1.040; 0.010; -1.3; 3.8; -2.6; 3.8; 74
 940;00 45 04.97;+61 50 32.01;17.561; 0.022; 0.440; 0.071; 1.246; 0.038; -8.1; 3.8;  0.0; 3.8; 84
 941;00 45 05.04;+61 49 28.50;18.915; 0.061;      ;      ; 1.439; 0.119; -0.4; 3.9; -0.5; 3.9; 76
 942;00 45 05.10;+61 55 26.84;18.888; 0.067; 0.576; 0.175; 0.819; 0.095;  0.6; 4.3; -0.1; 4.3; 71
 943;00 45 05.28;+61 53 13.29;16.395; 0.010; 0.455; 0.025; 0.885; 0.015;  2.5; 3.8; -2.0; 3.8; 42
 944;00 45 05.28;+61 53 37.14;17.408; 0.020; 1.437; 0.137; 1.371; 0.036;-32.5; 3.9; 15.3; 3.8;  0
 945;00 45 05.37;+61 48 11.37;19.024; 0.066;      ;      ; 1.553; 0.139; -2.5; 3.9; -9.9; 3.9; 21
 946;00 45 05.66;+61 40 03.16;17.816; 0.027; 0.615; 0.097; 1.225; 0.045;  7.4; 3.9;  2.5; 3.9; 11
 947;00 45 05.81;+61 53 35.42;18.434; 0.043; 1.053; 0.373; 1.775; 0.100; 90.2; 5.1;-33.5; 5.1;  0
 948;00 45 05.85;+61 54 40.82;17.978; 0.030; 0.328; 0.083; 1.048; 0.048; -1.6; 3.9;  2.8; 3.9; 79
 949;00 45 06.31;+61 56 53.36;18.666; 0.051; 0.388; 0.193; 1.250; 0.094;  5.3; 4.0;  0.2; 4.0; 25
 950;00 45 06.51;+61 51 52.78;14.551; 0.004; 0.231; 0.007; 0.751; 0.005; -2.9; 3.8;  1.4; 3.8; 93
 951;00 45 06.69;+61 44 12.35;16.556; 0.012; 0.200; 0.026; 0.965; 0.018; -3.2; 3.8; -1.0; 3.8; 94
 952;00 45 06.75;+61 55 33.63;17.700; 0.025; 0.924; 0.206; 1.970; 0.062;  0.7; 3.8;  1.2; 3.8; 63
 953;00 45 06.81;+61 56 30.17;17.033; 0.015; 0.301; 0.032; 0.697; 0.021; -3.4; 3.9;  6.6; 3.9; 54
 954;00 45 06.83;+61 53 59.58;16.021; 0.008; 0.387; 0.018; 0.842; 0.012;  3.6; 3.8;  1.4; 3.8; 34
 955;00 45 06.86;+61 39 55.66;17.226; 0.018; 0.421; 0.050; 1.120; 0.029;  2.1; 3.8; -1.7; 3.8; 46
 956;00 45 07.39;+61 38 33.51;17.133; 0.017; 0.796; 0.072; 1.394; 0.030; -5.5; 3.8; -1.5; 3.8; 95
 957;00 45 07.56;+61 42 54.73;17.499; 0.021; 0.546; 0.072; 1.219; 0.035; -0.6; 3.8;  0.3; 3.8; 77
 958;00 45 07.81;+61 46 17.43;19.266; 0.081;      ;      ; 0.940; 0.124;  1.2; 4.3; -1.8; 4.3; 63
 959;00 45 07.94;+61 52 37.21;18.907; 0.061;      ;      ; 1.031; 0.098;  4.3; 5.3; -4.5; 5.3; 44
 960;00 45 08.21;+61 38 29.22;18.335; 0.041;      ;      ; 2.096; 0.115; -3.6; 3.8; -6.5; 3.8; 49
 961;00 45 08.38;+61 56 24.75;12.984; 0.002;-0.246; 0.002; 0.358; 0.002; -0.3; 2.0;  0.2; 2.0; 34
 962;00 45 08.59;+61 41 16.94;14.965; 0.005; 0.185; 0.009; 0.849; 0.007;  3.0; 3.8;  0.6; 3.8; 40
 963;00 45 08.71;+61 48 16.28;17.981; 0.030; 0.611; 0.143; 1.566; 0.060; -0.6; 3.8;  2.1; 3.8; 73
 964;00 45 08.76;+61 56 34.53;16.932; 0.014; 0.707; 0.052; 1.215; 0.024; 10.4; 3.8; 16.6; 3.8;  0
 965;00 45 08.76;+61 43 13.73;18.696; 0.051; 0.592; 0.199; 1.217; 0.089;  1.8; 4.0; -0.1; 4.0; 56
 966;00 45 08.81;+61 52 26.77;17.695; 0.024; 0.453; 0.088; 1.336; 0.044; 10.1; 3.8; -4.1; 3.8;  3
 967;00 45 08.92;+61 55 21.62;15.834; 0.007; 0.286; 0.013; 0.496; 0.010; -4.1; 3.8;  1.9; 3.8; 95
 968;00 45 08.93;+61 38 36.22;16.152; 0.009; 0.660; 0.025; 1.007; 0.014; -0.5; 3.8;  0.1; 3.8; 76
 969;00 45 08.93;+61 53 04.34;18.570; 0.047; 0.459; 0.148; 1.029; 0.076; -1.4; 4.5;  3.2; 4.5; 80
 970;00 45 08.94;+61 55 02.69;17.721; 0.024; 0.956; 0.131; 1.392; 0.045;  0.1; 3.8; -0.9; 3.8; 69
 971;00 45 08.97;+61 52 06.06;18.574; 0.048;      ;      ; 1.982; 0.126; -4.4; 3.8;  0.2; 3.8;100
 972;00 45 09.60;+61 51 31.33;15.784; 0.007; 0.703; 0.020; 1.046; 0.011; -5.3; 3.8;  0.6; 3.8; 99
 973;00 45 09.73;+61 38 18.90;17.899; 0.029; 0.280; 0.138; 1.782; 0.066;  1.0; 3.8; -4.0; 3.8; 46
 974;00 45 09.78;+61 56 42.87;18.172; 0.033; 0.812; 0.156; 1.194; 0.058;  3.9; 3.9;  0.0; 3.9; 34
 975;00 45 09.91;+61 46 35.06;18.712; 0.051;      ;      ; 1.846; 0.127; -4.9; 5.1; -5.5; 5.1; 76
 976;00 45 09.94;+61 44 14.57;18.016; 0.030; 0.748; 0.104; 1.043; 0.048;  2.8; 3.9; -1.2; 3.9; 43
 977;00 45 09.96;+61 40 17.14;17.671; 0.024; 0.721; 0.073; 0.925; 0.036; -4.3; 3.9; -6.6; 3.9; 51
 978;00 45 10.15;+61 47 49.16;14.687; 0.004; 0.619; 0.009; 0.871; 0.006;-11.7; 3.8; -6.8; 3.8; 22
 979;00 45 10.22;+61 45 21.29;16.861; 0.014; 1.456; 0.076; 1.248; 0.023; -8.9; 3.8;  6.1; 3.8; 45
 980;00 45 10.48;+61 55 03.66;17.880; 0.027; 0.264; 0.055; 0.646; 0.038; -1.5; 4.4;  0.8; 4.4; 89
 981;00 45 10.82;+61 53 55.60;17.983; 0.029; 0.967; 0.125; 1.056; 0.048;  0.7; 3.9; -6.1; 3.9; 37
 982;00 45 10.95;+61 55 52.14;18.237; 0.035; 0.471; 0.108; 0.995; 0.056;  2.2; 3.9; -3.1; 3.9; 43
 983;00 45 11.20;+61 54 01.55;18.980; 0.089; 0.435; 0.266; 1.257; 0.137; -1.2; 4.5;  2.3; 4.5; 83
 984;00 45 11.28;+61 47 48.21;16.683; 0.012; 0.297; 0.028; 0.891; 0.019; 19.8; 3.8; -2.9; 3.8;  0
 985;00 45 11.45;+61 45 53.67;18.656; 0.048; 0.218; 0.169; 1.363; 0.091;  8.8; 4.0;-21.8; 4.0;  0
 986;00 45 11.48;+61 54 34.16;17.667; 0.023; 0.469; 0.066; 0.970; 0.036; -3.9; 3.9;  0.3; 3.9; 99
 987;00 45 11.56;+61 45 57.65;18.212; 0.035; 0.967; 0.232; 1.605; 0.073; 23.0; 3.8;-12.1; 3.8;  0
 988;00 45 11.96;+61 43 23.13;18.410; 0.040; 0.239; 0.104; 0.984; 0.064; -4.2; 4.1;-16.5; 4.1;  2
 989;00 45 12.14;+61 43 29.43;16.065; 0.009; 0.359; 0.020; 0.936; 0.013; -4.8; 3.8;  3.1; 3.8; 88
 990;00 45 12.77;+61 46 01.38;19.116; 0.069;      ;      ; 0.817; 0.103; -2.2; 4.0; -5.1; 4.0; 62
 991;00 45 13.26;+61 54 43.06;16.744; 0.012; 0.307; 0.027; 0.799; 0.018; -1.7; 3.8;  1.1; 3.8; 86
 992;00 45 13.63;+61 46 17.03;17.366; 0.020; 0.871; 0.155; 2.069; 0.050; -0.3; 3.8; -5.0; 3.8; 49
 993;00 45 13.78;+61 42 32.51;18.680; 0.050; 0.479; 0.202; 1.325; 0.093;  1.6; 4.0; -3.6; 4.0; 47
 994;00 45 13.97;+61 37 49.34;17.368; 0.019; 0.620; 0.072; 1.280; 0.033;  1.2; 3.8; -0.9; 3.8; 57
 995;00 45 14.08;+61 41 14.18;17.523; 0.022; 1.328; 0.159; 1.551; 0.042;  1.3; 3.8; -2.9; 3.8; 50
 996;00 45 14.18;+61 48 23.12;14.560; 0.004; 0.458; 0.008; 0.839; 0.006;  3.8; 3.8; -0.3; 3.8; 33
 997;00 45 14.20;+61 50 59.45;14.029; 0.003; 0.116; 0.005; 0.671; 0.004;  2.8; 3.8;  1.6; 3.8; 41
 998;00 45 14.43;+61 48 42.46;15.240; 0.005; 0.560; 0.016; 1.269; 0.009;  0.6; 3.8; -1.9; 3.8; 61
 999;00 45 14.46;+61 52 52.30;19.052; 0.069;      ;      ; 1.239; 0.124; -4.8; 4.0; -3.6; 4.0; 82
1000;00 45 14.47;+61 55 55.79;18.776; 0.055; 0.187; 0.186; 1.260; 0.101;  3.1; 4.3;  5.1; 4.3; 36
1001;00 45 14.50;+61 53 31.37;17.774; 0.025; 1.038; 0.177; 1.628; 0.054;  1.2; 3.8; -5.1; 3.8; 38
1002;00 45 14.50;+61 46 03.71;17.427; 0.020; 0.832; 0.089; 1.348; 0.036;  3.8; 3.8; -1.2; 3.8; 32
1003;00 45 14.55;+61 54 50.02;17.880; 0.027; 0.850; 0.106; 1.057; 0.043; -2.0; 3.8;  0.9; 3.8; 89
1004;00 45 14.64;+61 56 28.01;17.893; 0.026; 0.609; 0.083; 0.890; 0.041; 10.0; 3.9;  7.4; 3.9;  2
1005;00 45 15.11;+61 54 28.88;15.899; 0.007; 0.289; 0.014; 0.535; 0.010; -2.0; 3.8;  3.8; 3.8; 73
1006;00 45 15.48;+61 56 04.11;18.513; 0.044; 0.784; 0.198; 1.142; 0.076; -3.6; 4.0;  1.0; 4.0; 97
1007;00 45 16.05;+61 36 59.70;15.190; 0.005; 1.712; 0.043; 1.969; 0.011;  0.5; 4.7; -3.2; 4.7; 68
1008;00 45 16.45;+61 46 12.31;12.804; 0.002; 0.417; 0.003; 0.751; 0.002; -0.8; 2.8;  5.1; 2.8; 33
1009;00 45 16.57;+61 53 36.37;18.564; 0.046; 0.498; 0.161; 1.108; 0.077;  0.1; 4.0;  1.8; 4.0; 70
1010;00 45 16.61;+61 38 40.45;16.523; 0.011; 0.878; 0.038; 1.102; 0.018;  7.6; 3.8; -5.3; 3.8;  6
1011;00 45 16.67;+61 41 32.16;14.755; 0.004; 0.540; 0.010; 1.005; 0.006; -0.6; 3.8; -1.3; 3.8; 75
1012;00 45 16.99;+61 47 05.64;17.912; 0.028;      ;      ; 1.757; 0.063; -1.0; 3.8; -1.5; 3.8; 77
1013;00 45 17.05;+61 41 52.16;18.816; 0.057; 0.335; 0.318; 1.824; 0.141;  5.7; 3.8; -4.6; 3.8; 13
