#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:33:09 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:33:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/466/3636/tablea1&-order=I&-out=More&-out=ID&-out=RAICRS&-out=DEICRS&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=m1&-out=e_m1&-out=c1&-out=e_c1&-out=beta&-out=e_beta&-out=Member&-out=IPHAS&-out=2MASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74663636
#Name: J/MNRAS/466/3636
#Title: The young open cluster NGC 7067 (Monguio+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/466/3636	    IVOID of underlying data collection
#INFO	creator=Monguio M.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.466.3636M	    Article or Data origin sources
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/466/3636	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74663636	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_MNRAS_466_3636_tablea1:
#Name: J/MNRAS/466/3636/tablea1
#Title: Coordinates and photometric indexes
#Column	More	(A1)	indicates parameters for B stars or physical parameters for hot stars	[ucd=meta.ref.url]
#Column	ID	(I4)	ID number	[ucd=meta.id;meta.main]
#Column	RAICRS	(A10)	Right ascension (ICRS, Epoch=J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(A9)	Declination (ICRS, Epoch=J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F5.2)	b-y color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F5.2)	Error in b-y color index	[ucd=stat.error;phot.color;em.opt.B]
#Column	m1	(F6.2)	m1 index	[ucd=phot.color]
#Column	e_m1	(F5.2)	Error in m1 index	[ucd=stat.error]
#Column	c1	(F6.2)	? c1 index	[ucd=phot.color]
#Column	e_c1	(F5.2)	? Error in c1 index	[ucd=stat.error]
#Column	beta	(F5.2)	? beta index	[ucd=phot.color]
#Column	e_beta	(F5.2)	? Error in beta	[ucd=stat.error]
#Column	Member	(I1)	[0/1] 1 for member	[ucd=meta.code.member]
#Column	IPHAS	(A19)	IPHAS ID (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS ID (HHMMSSss+DDMMSSs)	[ucd=meta.id]
More;ID;RAICRS;DEICRS;Vmag;e_Vmag;b-y;e_b-y;m1;e_m1;c1;e_c1;beta;e_beta;Member;IPHAS;2MASS
 ;1279;21 24 36.3;+47 59 38;17.17; 0.01; 0.85; 0.01;  0.04; 0.02;  0.52; 0.02; 2.63; 0.01;0;J212436.30+475937.9;21243630+4759378
 ;1280;21 24 35.9;+48 03 45;16.24; 0.00; 1.35; 0.01;  0.19; 0.01;  0.64; 0.03; 2.60; 0.01;0;J212435.90+480345.4;21243591+4803454
 ;1281;21 24 35.7;+48 01 51;17.73; 0.00; 1.08; 0.00; -0.05; 0.02;  0.67; 0.02; 2.67; 0.03;0;J212435.67+480151.2;21243568+4801512
 ;1282;21 24 35.3;+47 58 04;17.98; 0.01; 0.90; 0.02; -0.10; 0.04;  0.61; 0.02; 2.62; 0.03;0;J212435.33+475803.7;21243533+4758037
 ;1283;21 24 34.5;+48 03 17;16.46; 0.01; 0.85; 0.01;  0.49; 0.01;  0.13; 0.02; 2.48; 0.01;0;J212434.44+480317.0;21243444+4803171
 ;1284;21 24 33.7;+47 57 31;17.05; 0.01; 1.31; 0.02;  0.10; 0.04;  0.50; 0.07; 2.62; 0.00;0;J212433.72+475730.8;21243372+4757307
 ;1285;21 24 33.7;+48 04 43;18.17; 0.04; 0.94; 0.02; -0.03; 0.01;  0.42; 0.01; 2.59; 0.02;0;J212433.63+480442.3;21243363+4804424
*;1286;21 24 33.5;+48 00 30;17.89; 0.01; 0.80; 0.01; -0.06; 0.02;  0.76; 0.01; 2.73; 0.02;0;J212433.52+480029.5;21243351+4800293
 ;1287;21 24 33.5;+47 57 43;18.25; 0.01; 0.83; 0.02; -0.04; 0.03;  0.54; 0.03; 2.62; 0.01;0;J212433.47+475742.7;21243347+4757426
*;1288;21 24 33.5;+48 01 21;17.53; 0.01; 0.77; 0.00; -0.06; 0.00;  0.95; 0.01; 2.82; 0.01;0;J212433.50+480120.6;21243352+4801207
 ;1289;21 24 33.1;+48 04 33;17.94; 0.02; 0.83; 0.01; -0.05; 0.02;  0.57; 0.04; 2.65; 0.01;0;J212433.06+480433.1;21243306+4804331
*;1290;21 24 32.1;+47 54 30;17.34; 0.01; 0.73; 0.02; -0.08; 0.03;  1.17; 0.02; 2.89; 0.01;1;J212432.08+475430.0;21243207+4754301
 ;1291;21 24 31.8;+47 59 05;17.64; 0.01; 0.85; 0.01;  0.06; 0.03;  0.51; 0.01; 2.62; 0.02;0;J212431.81+475905.1;21243181+4759050
 ;1292;21 24 31.8;+48 00 31;18.03; 0.01; 0.94; 0.01; -0.10; 0.03;  0.71; 0.04; 2.69; 0.00;0;J212431.75+480031.0;21243175+4800310
 ;1293;21 24 31.4;+47 54 59;18.23; 0.03; 0.93; 0.01; -0.12; 0.02;  0.51; 0.05; 2.63; 0.02;0;J212431.40+475459.3;
 ;1294;21 24 31.3;+47 56 58;17.56; 0.00; 0.82; 0.01; -0.05; 0.00;  0.55; 0.00; 2.68; 0.01;0;J212431.24+475657.4;21243123+4756574
 ;1295;21 24 31.1;+47 54 22;18.52; 0.03; 0.93; 0.02; -0.07; 0.03;  0.43; 0.04; 2.56; 0.02;0;J212431.08+475421.7;21243108+4754218
 ;1296;21 24 30.8;+47 59 23;17.35; 0.03; 0.76; 0.02;  0.00; 0.04;  0.62; 0.07; 2.68; 0.03;0;J212430.79+475922.6;21243079+4759226
*;1297;21 24 30.5;+48 03 17;16.73; 0.01; 0.74; 0.01;  0.01; 0.02;  1.05; 0.15; 2.81; 0.01;0;J212430.45+480317.2;21243046+4803172
 ;1298;21 24 30.2;+48 00 25;17.91; 0.02; 0.81; 0.02;  0.00; 0.02;  0.46; 0.01; 2.65; 0.01;0;J212430.19+480024.5;21243020+4800242
 ;1299;21 24 30.1;+48 00 16;17.77; 0.01; 0.86; 0.02; -0.05; 0.04;  0.63; 0.05; 2.69; 0.03;0;J212430.13+480015.9;21243013+4800158
 ;1300;21 24 29.9;+47 59 07;18.48; 0.01; 0.84; 0.03; -0.06; 0.02;  0.59; 0.04; 2.67; 0.01;0;J212429.93+475907.2;21242992+4759070
 ;1301;21 24 29.6;+47 55 05;15.44; 0.00; 1.59; 0.02;  0.38; 0.02;  0.35; 0.04; 2.60; 0.01;0;J212429.58+475504.8;21242958+4755047
 ;1302;21 24 29.6;+47 57 22;17.59; 0.02; 0.82; 0.02; -0.02; 0.02;  0.63; 0.03; 2.68; 0.01;0;J212429.63+475721.8;21242962+4757218
*;1303;21 24 29.6;+47 58 23;17.49; 0.01; 0.73; 0.01; -0.02; 0.02;  1.08; 0.03; 2.86; 0.01;1;J212429.58+475822.5;21242958+4758225
 ;1304;21 24 29.3;+47 58 17;17.71; 0.02; 0.82; 0.03;  0.04; 0.03;  0.50; 0.03; 2.62; 0.01;0;J212429.26+475816.9;21242925+4758168
*;1305;21 24 29.2;+47 56 04;17.78; 0.00; 0.85; 0.02; -0.13; 0.04;  1.12; 0.00; 2.89; 0.01;1;J212429.22+475603.7;21242922+4756037
*;1306;21 24 29.1;+47 59 19;17.74; 0.02; 0.61; 0.01; -0.04; 0.02;  1.19; 0.03; 2.97; 0.02;1;J212429.08+475918.6;21242908+4759187
*;1307;21 24 29.0;+47 59 50;17.77; 0.01; 0.70; 0.01; -0.01; 0.02;  0.74; 0.03; 2.73; 0.02;0;J212429.00+475949.8;21242899+4759497
 ;1308;21 24 28.5;+47 58 43;17.79; 0.01; 0.83; 0.00;  0.02; 0.00;  0.52; 0.01; 2.60; 0.01;0;J212428.44+475842.4;21242844+4758424
*;1309;21 24 28.4;+47 58 48;18.02; 0.03; 0.71; 0.01; -0.04; 0.01;  1.07; 0.03; 2.90; 0.02;1;J212428.42+475848.4;21242841+4758482
*;1310;21 24 28.3;+47 58 14;18.43; 0.06; 0.83; 0.04; -0.10; 0.04;  0.63; 0.01; 2.67; 0.02;0;J212428.29+475813.5;21242827+4758135
*;1311;21 24 27.9;+47 54 26;17.74; 0.02; 0.79; 0.02;  0.03; 0.04;  0.76; 0.07; 2.78; 0.02;0;J212427.91+475425.3;21242791+4754253
 ;1312;21 24 27.9;+47 58 40;17.22; 0.01; 0.86; 0.02;  0.11; 0.05;  0.56; 0.04; 2.61; 0.00;0;J212427.93+475840.0;21242793+4758399
 ;1313;21 24 27.8;+47 57 05;18.07; 0.01; 0.86; 0.01;  0.02; 0.02;  0.51; 0.00; 2.60; 0.03;0;J212427.78+475705.1;21242777+4757055
 ;1314;21 24 27.8;+48 00 59;17.96; 0.02; 0.88; 0.01; -0.03; 0.02;  0.62; 0.05; 2.70; 0.01;0;J212427.83+480059.2;21242783+4800592
 ;1315;21 24 27.4;+47 55 11;18.16; 0.02; 0.89; 0.04; -0.05; 0.04;  0.48; 0.01; 2.63; 0.02;0;J212427.37+475510.4;21242738+4755104
 ;1316;21 24 27.3;+47 55 01;18.22; 0.03; 0.90; 0.03;  0.00; 0.05;  0.52; 0.11; 2.63; 0.01;0;J212427.27+475501.3;21242726+4755013
*;1317;21 24 26.8;+48 00 01;17.83; 0.01; 0.64; 0.01; -0.03; 0.02;  1.25; 0.02; 2.95; 0.00;1;J212426.74+480000.6;21242673+4800006
*;1318;21 24 26.5;+47 55 12;18.51; 0.03; 0.85; 0.00; -0.08; 0.00;  0.44; 0.02; 2.58; 0.03;0;J212426.50+475511.9;21242646+4755118
 ;1319;21 24 26.5;+48 00 14;18.16; 0.01; 0.80; 0.00;  0.05; 0.03;  0.39; 0.08; 2.64; 0.02;0;J212426.53+480014.0;21242653+4800139
 ;1320;21 24 26.3;+47 56 07;17.04; 0.01; 0.92; 0.01;  0.03; 0.02;  0.51; 0.01; 2.61; 0.01;0;J212426.32+475606.7;21242632+4756067
 ;1321;21 24 26.2;+47 58 47;18.22; 0.03; 0.82; 0.00;  0.05; 0.00;  0.47; 0.04; 2.63; 0.05;0;J212426.15+475846.5;21242613+4758465
 ;1322;21 24 25.7;+47 57 05;18.30; 0.03; 0.79; 0.02; -0.04; 0.04;  0.71; 0.08; 2.69; 0.01;0;J212425.67+475704.7;21242566+4757048
*;1323;21 24 25.5;+47 58 15;17.87; 0.00; 0.63; 0.02;  0.01; 0.04;  1.08; 0.01; 2.94; 0.01;1;J212425.52+475815.0;21242553+4758148
 ;1324;21 24 25.4;+47 59 59;18.20; 0.02; 0.80; 0.02;  0.05; 0.01;  0.44; 0.01; 2.62; 0.03;0;J212425.41+475958.6;21242539+4759584
 ;1325;21 24 25.4;+47 59 36;17.96; 0.02; 0.78; 0.02; -0.01; 0.04;  0.61; 0.01; 2.69; 0.03;0;J212425.38+475935.8;21242537+4759358
*;1326;21 24 25.1;+47 59 50;18.37; 0.05; 0.83; 0.03; -0.10; 0.04;  0.50; 0.03; 2.65; 0.03;0;J212425.11+475950.2;21242512+4759504
 ;1327;21 24 24.5;+47 59 24;18.10; 0.02; 0.80; 0.03; -0.06; 0.05;  0.53; 0.03; 2.65; 0.01;0;J212424.45+475923.7;21242446+4759237
 ;1328;21 24 24.2;+47 56 26;17.49; 0.01; 0.91; 0.01; -0.03; 0.01;  0.65; 0.03; 2.67; 0.01;0;J212424.17+475626.1;21242417+4756261
 ;1329;21 24 23.8;+47 59 12;18.09; 0.02; 0.83; 0.02;  0.05; 0.03;  0.35; 0.01; 2.61; 0.02;0;J212423.75+475912.3;21242374+4759123
 ;1330;21 24 23.7;+47 56 08;18.18; 0.00; 0.83; 0.00;  0.00; 0.01;  0.45; 0.01; 2.63; 0.02;0;J212423.69+475607.8;21242370+4756079
 ;1331;21 24 23.7;+47 58 05;18.19; 0.02; 0.94; 0.01; -0.10; 0.01;  0.60; 0.02; 2.61; 0.01;0;J212423.69+475805.2;21242368+4758050
*;1332;21 24 23.5;+47 57 06;18.32; 0.01; 0.80; 0.01; -0.06; 0.01;  0.63; 0.02; 2.73; 0.03;0;J212423.53+475705.6;21242355+4757058
*;1333;21 24 23.4;+47 54 46;17.83; 0.01; 0.83; 0.01; -0.02; 0.03;  0.95; 0.05; 2.76; 0.01;0;J212423.40+475446.0;21242340+4754460
 ;1334;21 24 23.4;+48 04 56;18.34; 0.04; 0.86; 0.02; -0.04; 0.03;  0.52; 0.01; 2.64; 0.02;0;J212423.37+480456.2;21242339+4804562
 ;1335;21 24 23.0;+48 03 36;16.99; 0.00; 0.97; 0.00;  0.51; 0.00;  0.21; 0.03; 2.52; 0.01;0;J212422.96+480336.2;21242296+4803361
 ;1336;21 24 22.8;+48 00 57;18.26; 0.03; 0.74; 0.04;  0.06; 0.07;  0.41; 0.02; 2.53; 0.06;0;J212422.77+480056.5;21242276+4800563
 ;1337;21 24 22.0;+47 58 18;17.57; 0.01; 0.81; 0.00;  0.01; 0.01;  0.49; 0.03; 2.63; 0.01;0;J212422.03+475818.0;21242205+4758181
*;1338;21 24 21.7;+47 54 31;17.55; 0.01; 0.74; 0.01;  0.03; 0.02;  1.16; 0.03; 2.91; 0.02;1;J212421.71+475430.9;21242171+4754308
 ;1339;21 24 21.6;+47 58 49;17.95; 0.00; 0.89; 0.01; -0.09; 0.01;  0.59; 0.02; 2.67; 0.01;0;J212421.63+475848.6;21242163+4758487
 ;1340;21 24 21.4;+47 58 51;17.72; 0.01; 0.72; 0.01; -0.06; 0.02;  0.75; 0.03; 2.71; 0.01;0;J212421.33+475851.3;21242133+4758511
*;1341;21 24 21.0;+48 04 11;17.40; 0.01; 0.71; 0.02; -0.05; 0.03;  1.17; 0.02; 2.97; 0.00;1;J212421.01+480411.3;21242100+4804112
 ;1342;21 24 20.9;+47 56 30;18.31; 0.04; 0.80; 0.05; -0.02; 0.04;  0.46; 0.03; 2.66; 0.04;0;J212420.89+475630.3;21242089+4756304
 ;1343;21 24 20.9;+47 58 37;18.03; 0.00; 0.87; 0.01; -0.07; 0.02;  0.65; 0.01; 2.69; 0.03;0;J212420.87+475836.5;21242087+4758364
*;1344;21 24 20.8;+48 01 15;18.23; 0.01; 0.72; 0.01;  0.01; 0.01;  1.01; 0.07; 2.86; 0.03;1;J212420.77+480115.1;21242077+4801151
 ;1345;21 24 20.3;+47 57 35;17.97; 0.01; 0.81; 0.02;  0.08; 0.03;  0.39; 0.02; 2.60; 0.01;0;J212420.25+475735.0;21242025+4757349
 ;1346;21 24 20.2;+47 56 12;17.39; 0.01; 0.84; 0.01; -0.04; 0.02;  0.57; 0.01; 2.67; 0.01;0;J212420.17+475612.0;21242018+4756120
 ;1347;21 24 20.1;+47 57 48;17.26; 0.01; 0.80; 0.01;  0.03; 0.02;  0.43; 0.03; 2.62; 0.01;0;J212420.12+475747.9;21242012+4757479
 ;1348;21 24 19.8;+47 59 59;18.12; 0.01; 0.91; 0.01; -0.06; 0.03;  0.54; 0.01; 2.63; 0.01;0;J212419.82+475958.6;21241982+4759584
 ;1349;21 24 19.6;+47 57 15;18.56; 0.02; 0.81; 0.02; -0.01; 0.01;  0.47; 0.00; 2.59; 0.04;0;J212419.61+475715.4;21241954+4757160
*;1350;21 24 18.8;+48 00 07;18.09; 0.02; 0.76; 0.01;  0.01; 0.04;  0.96; 0.10; 2.87; 0.03;0;J212418.81+480006.7;21241882+4800063
 ;1351;21 24 18.6;+47 56 56;18.07; 0.03; 0.78; 0.01; -0.03; 0.04;  0.70; 0.04; 2.69; 0.02;0;J212418.59+475655.7;
*;1352;21 24 18.2;+48 05 07;17.87; 0.01; 0.79; 0.02; -0.10; 0.04;  0.63; 0.06; 2.70; 0.01;0;J212418.24+480507.3;21241823+4805072
*;1353;21 24 18.1;+47 58 28;18.17; 0.00; 0.75; 0.01; -0.03; 0.00;  0.87; 0.00; 2.84; 0.03;0;J212418.13+475827.6;21241814+4758276
*;1354;21 24 17.9;+47 55 55;18.15; 0.04; 0.83; 0.07; -0.03; 0.09;  0.80; 0.05; 2.73; 0.01;0;J212417.85+475555.3;21241786+4755554
 ;1355;21 24 17.2;+47 54 41;17.22; 0.01; 0.90; 0.00;  0.10; 0.01;  0.53; 0.03; 2.62; 0.01;0;J212417.18+475441.2;21241721+4754411
 ;1356;21 24 16.8;+48 05 05;16.28; 0.01; 1.22; 0.01;  0.03; 0.01;  0.52; 0.03; 2.62; 0.01;0;J212416.80+480504.5;21241680+4805044
 ;1357;21 24 16.2;+47 58 44;17.97; 0.05; 0.94; 0.04; -0.01; 0.07;  0.43; 0.11; 2.56; 0.01;0;J212416.21+475844.1;21241619+4758442
 ;1358;21 24 16.0;+47 58 05;17.50; 0.01; 0.83; 0.01;  0.02; 0.01;  0.51; 0.02; 2.62; 0.02;0;J212416.01+475805.0;21241602+4758049
 ;1359;21 24 15.9;+47 59 03;16.92; 0.01; 1.00; 0.01;  0.08; 0.03;  0.49; 0.01; 2.57; 0.01;0;J212415.85+475902.5;21241585+4759024
 ;1360;21 24 15.8;+48 00 45;18.31; 0.03; 0.86; 0.01; -0.04; 0.03;  0.56; 0.05; 2.68; 0.01;0;J212415.75+480044.6;21241571+4800446
 ;1361;21 24 15.6;+48 04 29;17.95; 0.01; 0.95; 0.01; -0.06; 0.01;  0.53; 0.02; 2.62; 0.03;0;J212415.63+480428.6;21241563+4804286
 ;1362;21 24 15.5;+48 04 52;18.02; 0.02; 0.81; 0.02; -0.08; 0.02;  0.58; 0.01; 2.67; 0.01;0;J212415.47+480451.9;21241547+4804518
 ;1363;21 24 15.2;+47 54 46;15.88; 0.00; 1.43; 0.00;  0.28; 0.02;  0.45; 0.02; 2.59; 0.01;0;J212415.17+475445.9;21241518+4754458
*;1364;21 24 15.0;+47 59 49;17.29; 0.02; 0.79; 0.01;  0.02; 0.02;  0.84; 0.01; 2.74; 0.02;0;J212414.95+475948.7;21241496+4759486
*;1365;21 24 15.0;+48 01 14;18.16; 0.03; 0.67; 0.03; -0.01; 0.05;  1.16; 0.10; 2.93; 0.03;1;J212414.95+480114.3;21241498+4801145
*;1366;21 24 14.9;+48 03 16;17.45; 0.01; 1.04; 0.03; -0.17; 0.05;  1.14; 0.04; 2.81; 0.03;1;J212414.92+480315.7;21241493+4803157
 ;1367;21 24 14.9;+47 59 40;18.19; 0.01; 0.81; 0.01;  0.01; 0.02;  0.54; 0.01; 2.69; 0.03;0;J212414.83+475939.8;21241484+4759396
*;1368;21 24 14.3;+47 55 57;17.79; 0.01; 0.77; 0.01; -0.03; 0.01;  0.71; 0.01; 2.72; 0.01;0;J212414.28+475556.8;21241428+4755568
*;1369;21 24 14.0;+47 59 54;17.90; 0.01; 0.61; 0.01;  0.03; 0.03;  1.12; 0.03; 2.97; 0.01;1;J212413.97+475953.4;21241396+4759533
*;1370;21 24 13.7;+48 04 07;17.63; 0.02; 0.96; 0.01; -0.12; 0.00;  1.10; 0.03; 2.81; 0.02;1;J212413.73+480406.6;21241373+4804066
*;1371;21 24 13.6;+48 00 33;17.77; 0.00; 0.64; 0.01;  0.04; 0.00;  1.12; 0.02; 2.91; 0.03;1;J212413.61+480033.0;21241364+4800331
*;1372;21 24 13.5;+47 59 20;17.44; 0.03; 0.72; 0.02;  0.00; 0.04;  0.90; 0.01; 2.77; 0.02;0;J212413.52+475920.0;21241353+4759200
 ;1373;21 24 13.4;+47 58 44;17.52; 0.02; 0.86; 0.01;  0.06; 0.02;  0.47; 0.03; 2.61; 0.01;0;J212413.43+475843.7;21241341+4758437
 ;1374;21 24 13.4;+47 56 35;17.12; 0.01; 0.83; 0.02;  0.53; 0.04;  0.22; 0.03; 2.52; 0.00;0;J212413.38+475635.2;21241337+4756351
 ;1375;21 24 13.2;+47 58 45;17.96; 0.02; 0.86; 0.03;  0.01; 0.05;  0.47; 0.01; 2.61; 0.02;0;J212413.23+475845.0;
 ;1376;21 24 13.0;+48 04 46;17.15; 0.01; 0.96; 0.01;  0.00; 0.02;  0.59; 0.04; 2.62; 0.00;0;J212413.02+480445.4;21241302+4804454
*;1377;21 24 12.8;+47 58 13;17.55; 0.01; 0.67; 0.01;  0.00; 0.02;  1.09; 0.01; 2.91; 0.01;1;J212412.82+475813.4;21241284+4758134
*;1378;21 24 12.2;+48 01 23;18.05; 0.00; 0.67; 0.01; -0.01; 0.01;  1.19; 0.04; 2.91; 0.03;1;J212412.21+480122.8;
*;1379;21 24 12.0;+47 57 24;18.25; 0.02; 0.97; 0.02; -0.13; 0.00;  0.63; 0.04; 2.66; 0.03;0;J212412.00+475724.2;21241200+4757241
 ;1380;21 24 11.6;+48 00 33;17.92; 0.01; 0.79; 0.01; -0.01; 0.03;  0.63; 0.04; 2.67; 0.01;0;J212411.59+480033.1;21241161+4800333
 ;1381;21 24 11.4;+47 54 30;17.95; 0.01; 0.97; 0.02; -0.01; 0.00;  0.54; 0.05; 2.62; 0.01;0;J212411.37+475430.0;21241138+4754300
 ;1382;21 24 11.4;+48 04 29;17.91; 0.02; 0.95; 0.02; -0.11; 0.02;  0.63; 0.03; 2.66; 0.01;0;J212411.38+480428.4;21241138+4804285
*;1383;21 24 09.9;+47 54 43;17.52; 0.01; 0.69; 0.01; -0.04; 0.03;  1.07; 0.04; 2.92; 0.02;1;J212409.85+475442.7;21240988+4754428
 ;1384;21 24 09.5;+47 59 13;17.84; 0.01; 0.87; 0.01;  0.05; 0.00;  0.50; 0.04; 2.62; 0.01;0;J212409.49+475912.9;21240949+4759129
 ;1385;21 24 09.4;+47 59 01;17.64; 0.01; 0.90; 0.01;  0.03; 0.04;  0.54; 0.04; 2.61; 0.01;0;J212409.41+475901.1;21240941+4759010
 ;1386;21 24 09.4;+47 58 16;17.69; 0.01; 0.79; 0.01;  0.01; 0.02;  0.47; 0.03; 2.63; 0.01;0;J212409.35+475815.5;21240935+4758155
 ;1387;21 24 09.2;+47 56 39;18.04; 0.01; 0.82; 0.02; -0.03; 0.03;  0.58; 0.04; 2.67; 0.03;0;J212409.24+475639.3;
 ;1388;21 24 09.2;+47 57 33;18.30; 0.00; 0.83; 0.01; -0.06; 0.03;  0.41; 0.04; 2.59; 0.02;0;J212409.19+475733.2;21240919+4757331
 ;1389;21 24 08.5;+47 58 24;17.98; 0.01; 0.88; 0.00;  0.01; 0.01;  0.50; 0.02; 2.62; 0.00;0;J212408.50+475823.5;21240851+4758235
 ;1390;21 24 08.5;+48 01 27;18.07; 0.00; 0.88; 0.00; -0.02; 0.01;  0.55; 0.03; 2.65; 0.02;0;J212408.51+480127.4;21240851+4801273
 ;1391;21 24 08.3;+47 56 02;17.76; 0.01; 0.70; 0.08;  0.17; 0.13;  0.53; 0.05; 2.68; 0.06;0;J212408.26+475601.7;21240827+4756017
*;1392;21 24 08.4;+48 02 53;17.93; 0.03; 1.09; 0.13; -0.18; 0.13;  0.51; 0.16; 2.69; 0.10;0;J212408.34+480252.8;21240834+4802529
 ;1393;21 24 08.1;+47 56 42;17.65; 0.01; 0.97; 0.02; -0.01; 0.04;  0.45; 0.05; 2.60; 0.01;0;J212408.07+475642.0;21240808+4756418
 ;1394;21 24 07.6;+47 54 36;17.32; 0.01; 0.95; 0.01; -0.04; 0.01;  0.61; 0.02; 2.68; 0.01;0;J212407.60+475436.2;21240761+4754363
*;1395;21 24 07.8;+48 04 28;17.80; 0.04; 1.01; 0.07; -0.17; 0.11;  0.76; 0.10; 2.70; 0.07;0;J212407.76+480428.2;21240777+4804282
*;1396;21 24 07.3;+47 55 36;17.68; 0.01; 0.70; 0.01;  0.03; 0.01;  1.01; 0.04; 2.88; 0.01;0;J212407.29+475535.6;21240729+4755353
 ;1397;21 24 07.4;+48 01 19;17.92; 0.02; 0.85; 0.00;  0.01; 0.00;  1.00; 0.00; 2.80; 0.01;0;J212407.33+480119.1;21240733+4801190
 ;1398;21 24 06.4;+47 56 58;17.67; 0.08; 0.86; 0.01; -0.03; 0.06;  0.55; 0.04; 2.66; 0.03;0;J212406.41+475657.7;21240640+4756575
 ;1399;21 24 05.4;+47 57 23;15.91; 0.01; 1.35; 0.01;  0.19; 0.01;  0.56; 0.01; 2.60; 0.01;0;J212405.42+475722.9;21240543+4757229
 ;1400;21 24 05.0;+47 57 29;16.63; 0.01; 0.94; 0.02;  0.10; 0.04;  0.53; 0.01; 2.60; 0.01;0;J212405.00+475729.3;21240501+4757293
 ;1401;21 24 05.1;+48 01 41;18.37; 0.12; 0.75; 0.19;  0.11; 0.27;  0.57; 0.04; 2.69; 0.01;0;J212405.06+480140.7;21240507+4801408
*;1402;21 24 04.3;+47 59 44;18.46; 0.27; 0.92; 0.03; -0.22; 0.05;  0.57; 0.04; 2.65; 0.02;0;J212404.34+475943.7;21240434+4759436
 ;1403;21 24 03.6;+47 55 54;16.73; 0.04; 0.92; 0.06;  0.56; 0.09;  0.12; 0.08; 2.53; 0.03;0;J212403.59+475554.4;21240360+4755545
*;1404;21 24 03.5;+47 58 56;17.53; 0.01; 0.63; 0.01; -0.05; 0.02;  1.11; 0.04; 2.94; 0.02;1;J212403.48+475855.4;21240341+4758552
 ;1405;21 24 03.4;+48 00 32;17.36; 0.01; 0.83; 0.01; -0.03; 0.02;  0.53; 0.02; 2.67; 0.01;0;J212403.35+480031.5;21240336+4800315
*;1406;21 24 03.1;+48 00 22;17.96; 0.01; 0.79; 0.01; -0.02; 0.01;  0.94; 0.03; 2.82; 0.02;0;J212403.04+480022.0;21240305+4800220
 ;1407;21 24 02.8;+47 57 53;18.13; 0.03; 0.91; 0.03; -0.06; 0.08;  0.54; 0.09; 2.66; 0.02;0;J212402.80+475753.3;21240280+4757532
 ;1408;21 24 02.3;+47 56 45;17.75; 0.02; 0.85; 0.04;  0.00; 0.06;  0.51; 0.06; 2.64; 0.04;0;J212402.26+475645.0;21240225+4756458
 ;1409;21 24 02.2;+47 56 32;18.01; 0.01; 0.90; 0.01; -0.03; 0.03;  0.61; 0.00; 2.65; 0.03;0;J212402.20+475632.0;21240220+4756320
 ;1410;21 24 02.1;+47 59 28;17.26; 0.01; 0.89; 0.01;  0.00; 0.03;  0.56; 0.03; 2.63; 0.01;0;J212402.08+475927.6;21240208+4759276
 ;1411;21 24 01.4;+48 01 22;16.33; 0.00; 1.34; 0.01;  0.09; 0.01;  0.63; 0.01; 2.61; 0.01;0;J212401.43+480122.0;21240143+4801220
*;1412;21 24 01.4;+47 59 21;17.71; 0.01; 0.74; 0.00; -0.03; 0.02;  1.10; 0.02; 2.93; 0.00;1;J212401.36+475921.3;21240135+4759213
 ;1413;21 24 00.7;+47 58 19;18.08; 0.01; 0.94; 0.00; -0.01; 0.01;  0.56; 0.11; 2.59; 0.00;0;J212400.66+475819.2;21240066+4758194
