#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:03:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:03:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AN/342/538/table2&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=Gmag&-out=e_Gmag&-out=BP-RP&-out=e_BP-RP&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Plx&-out=e_Plx&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113420538
#Name: J/AN/342/538
#Title: Frolov 1 and NGC 7510 CCD UBV photometry (Yontan+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/an/342/538	    IVOID of underlying data collection
#INFO	creator=Yontan T.	    First author or institution
#INFO	cites=bibcode:2021AN....342..538Y	    Article or Data origin sources
#INFO	editor=Astronomische Nachrichten	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/342/538	    Dataset landing page
#INFO	publication_date=2022-12-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_342_538_table2:
#Name: J/AN/342/538/table2
#Title: Photometric and astrometric catalogue NGC 7510
#Column	ID	(I4)	Sequential number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	Gmag	(F6.3)	? Gaia G magnitude	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F6.3)	? rms uncertainty on Gmag	[ucd=stat.error;phot.mag]
#Column	BP-RP	(F6.3)	? Gaia BP-RP colour index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_BP-RP	(F6.3)	? rms uncertainty on BP-RP	[ucd=stat.error]
#Column	pmRA	(F8.3)	? proper motion components (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.3)	? proper motion components (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F8.3)	? trigonometric parallax	[ucd=pos.parallax.trig]
#Column	e_Plx	(F6.3)	? rms uncertainty on trigonometric parallax	[ucd=stat.error;pos.parallax]
#Column	Pmemb	(F5.2)	[0/1]? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;Gmag;e_Gmag;BP-RP;e_BP-RP;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Pmemb
 469;23 10 28.10;+60 32 09.78;17.834; 0.019; 0.277; 0.040; 1.157; 0.023;17.406; 0.001; 1.574; 0.015;  -1.403; 0.141;  -1.501; 0.121;   0.178; 0.085; 0.00
 470;23 10 28.15;+60 43 13.20;16.638; 0.009; 0.652; 0.018; 1.056; 0.011;16.391; 0.001; 1.479; 0.008;  -3.605; 0.093;  -2.237; 0.077;   0.291; 0.057; 0.98
 471;23 10 28.26;+60 40 43.23;15.095; 0.003; 0.354; 0.006; 1.007; 0.004;14.843; 0.001; 1.352; 0.003;   0.002; 0.401;  -3.390; 0.342;   1.704; 0.249; 0.00
 472;23 10 28.44;+60 29 43.40;18.778; 0.045;      ;      ; 1.605; 0.061;18.108; 0.001; 2.029; 0.038;  -3.210; 0.203;  -2.196; 0.168;   0.175; 0.121; 0.97
 473;23 10 28.72;+60 37 42.91;15.736; 0.005; 0.759; 0.015; 1.218; 0.008;15.519; 0.003; 1.598; 0.006;   3.387; 0.176;  -2.156; 0.151;   0.154; 0.110; 0.00
 474;23 10 28.79;+60 39 14.34;19.012; 0.053;      ;      ; 1.360; 0.068;18.339; 0.002; 1.790; 0.032;  -1.614; 0.242;  -1.971; 0.197;   0.359; 0.142; 0.02
 475;23 10 28.84;+60 38 05.86;12.406; 0.003; 0.074; 0.003; 0.733; 0.004;12.271; 0.000; 0.938; 0.001; -29.645; 0.037;  -7.340; 0.034;   2.036; 0.023; 0.00
 476;23 10 28.93;+60 27 08.80;15.950; 0.006; 0.327; 0.009; 0.951; 0.007;15.683; 0.001; 1.407; 0.004;  -3.743; 0.056;  -2.107; 0.049;   0.272; 0.035; 0.98
 477;23 10 29.00;+60 28 29.97;14.860; 0.003; 0.338; 0.005; 0.924; 0.004;14.624; 0.000; 1.246; 0.001;   2.228; 0.038;   3.613; 0.033;   0.939; 0.021; 0.00
 478;23 10 29.16;+60 35 51.67;18.845; 0.046;      ;      ; 1.554; 0.063;18.031; 0.001; 2.005; 0.026;  -3.661; 0.210;  -2.168; 0.172;   0.214; 0.114; 1.00
 479;23 10 29.18;+60 40 28.70;18.885; 0.048; 0.526; 0.107; 1.024; 0.057;18.204; 0.002; 1.640; 0.029;  -3.563; 0.211;  -2.738; 0.166;   0.404; 0.129; 0.84
 480;23 10 29.20;+60 31 48.03;14.014; 0.002; 0.016; 0.003; 0.859; 0.002;13.728; 0.000; 1.280; 0.001;  -3.700; 0.030;  -2.320; 0.026;   0.254; 0.018; 0.81
 481;23 10 29.38;+60 33 44.81;16.749; 0.009; 0.694; 0.026; 1.564; 0.013;16.007; 0.001; 2.137; 0.005;  -3.634; 0.071;  -2.431; 0.069;   0.321; 0.040; 0.99
 482;23 10 29.39;+60 32 30.25;17.848; 0.019; 0.595; 0.052; 1.268; 0.024;17.303; 0.001; 1.703; 0.017;   0.595; 0.134;   0.484; 0.112;   0.353; 0.082; 0.00
 483;23 10 29.41;+60 30 49.94;15.317; 0.004; 0.499; 0.007; 0.905; 0.005;15.107; 0.000; 1.237; 0.002;  -5.715; 0.042;  -3.026; 0.037;   0.504; 0.026; 0.00
 484;23 10 29.42;+60 29 17.10;14.674; 0.003; 0.380; 0.005; 1.023; 0.003;14.387; 0.001; 1.363; 0.003;  -0.883; 0.036;  -1.571; 0.028;   0.698; 0.020; 0.00
 485;23 10 29.56;+60 38 28.28;18.965; 0.051;      ;      ; 1.426; 0.067;18.409; 0.002; 1.718; 0.038;  -2.115; 0.234;  -2.000; 0.191;   0.113; 0.140; 0.11
 486;23 10 29.68;+60 35 03.63;17.280; 0.013; 0.719; 0.041; 1.569; 0.018;16.578; 0.001; 2.062; 0.008;  -3.430; 0.087;  -1.887; 0.075;   0.209; 0.053; 0.94
 487;23 10 29.70;+60 43 37.37;14.603; 0.003;-0.009; 0.004; 0.562; 0.003;14.566; 0.000; 0.903; 0.003;  -2.976; 0.031;  -1.930; 0.026;   0.346; 0.019; 0.00
 488;23 10 29.84;+60 39 36.42;18.438; 0.034;      ;      ; 2.085; 0.055;17.229; 0.001; 2.498; 0.022;  -1.531; 0.132;  -1.769; 0.115;   0.104; 0.078; 0.00
 489;23 10 29.97;+60 37 46.10;13.205; 0.004;-0.124; 0.006; 0.819; 0.006;13.037; 0.003; 1.074; 0.002;        ;      ;        ;      ;        ;      ; 0.00
 490;23 10 29.99;+60 37 19.46;17.476; 0.015;      ;      ; 1.284; 0.019;16.963; 0.001; 1.679; 0.015;   7.709; 0.095;   1.518; 0.082;   0.602; 0.058; 0.00
 491;23 10 29.99;+60 35 17.12;18.088; 0.024; 0.606; 0.079; 1.488; 0.032;17.516; 0.001; 1.922; 0.017;   0.816; 0.171;  -1.208; 0.142;   0.228; 0.099; 0.00
 492;23 10 29.99;+60 38 52.82;19.039; 0.055;      ;      ; 1.478; 0.073;18.410; 0.002; 1.747; 0.031;  -5.522; 0.237;  -7.747; 0.191;   0.537; 0.140; 0.00
 493;23 10 30.09;+60 41 32.50;18.370; 0.031; 0.795; 0.099; 1.255; 0.039;17.920; 0.014; 2.050; 0.027;        ;      ;        ;      ;        ;      ; 0.00
 494;23 10 30.10;+60 37 15.52;17.579; 0.017;      ;      ; 2.837; 0.040;15.958; 0.001; 3.127; 0.011;  -1.567; 0.092;  -0.977; 0.082;   0.011; 0.057; 0.00
 495;23 10 30.18;+60 36 31.85;18.742; 0.042; 0.584; 0.103; 1.128; 0.051;18.075; 0.002; 1.756; 0.026;  -3.614; 0.197;  -2.558; 0.167;   0.509; 0.123; 0.99
 496;23 10 30.27;+60 36 36.75;17.577; 0.016; 1.194; 0.065; 1.344; 0.021;17.034; 0.001; 1.686; 0.009;  -0.489; 0.106;  -5.995; 0.090;   0.943; 0.064; 0.00
 497;23 10 30.35;+60 27 44.53;18.500; 0.037; 0.355; 0.106; 1.536; 0.049;17.951; 0.001; 1.843; 0.020;  -3.938; 0.199;  -2.247; 0.155;   0.598; 0.118; 1.00
 498;23 10 30.46;+60 39 59.84;18.740; 0.043;      ;      ; 1.655; 0.061;18.240; 0.002; 1.796; 0.028;   5.911; 0.217;  -4.316; 0.175;   0.827; 0.128; 0.00
 499;23 10 30.61;+60 36 57.08;17.170; 0.012; 0.498; 0.025; 1.143; 0.015;16.805; 0.001; 1.467; 0.011;  -7.718; 0.092;   1.602; 0.080;   0.614; 0.059; 0.00
 500;23 10 30.63;+60 32 48.52;20.343; 0.165;      ;      ; 1.818; 0.408;20.289; 0.011; 2.251; 0.198;   0.882; 1.263;  -2.319; 1.109;  -0.154; 0.651; 0.41
 501;23 10 30.66;+60 36 47.38;18.116; 0.025;      ;      ; 1.526; 0.033;17.617; 0.001; 1.760; 0.018;  -9.515; 0.150;  -1.765; 0.126;   0.981; 0.090; 0.00
 502;23 10 30.66;+60 41 30.87;19.021; 0.056;      ;      ; 1.209; 0.068;18.258; 0.002; 1.851; 0.039;   1.977; 0.227;   1.883; 0.181;   0.628; 0.133; 0.00
 503;23 10 30.77;+60 33 58.15;16.440; 0.007; 1.218; 0.024; 1.291; 0.010;16.049; 0.001; 1.583; 0.003; -10.883; 0.075;  -4.640; 0.067;   1.090; 0.045; 0.00
 504;23 10 30.78;+60 40 55.54;18.714; 0.042; 0.574; 0.104; 1.132; 0.051;18.190; 0.002; 1.708; 0.040;  -2.648; 0.202;  -1.772; 0.166;   0.074; 0.127; 0.36
 505;23 10 30.83;+60 24 40.60;16.496; 0.008; 0.887; 0.056; 1.237; 0.010;16.017; 0.001; 1.814; 0.005;  -1.594; 0.069;  -2.042; 0.057;   0.243; 0.041; 0.00
 506;23 10 30.86;+60 42 21.61;18.132; 0.026; 0.627; 0.067; 1.156; 0.032;17.728; 0.001; 1.677; 0.017;  -2.607; 0.167;  -1.664; 0.135;   0.241; 0.100; 0.15
 507;23 10 30.90;+60 38 45.72;18.332; 0.029; 0.622; 0.086; 1.329; 0.037;17.851; 0.001; 1.739; 0.022;  -3.625; 0.166;  -2.185; 0.138;   0.359; 0.100; 0.99
 508;23 10 30.93;+60 35 53.94;18.073; 0.024; 0.289; 0.055; 1.318; 0.030;17.568; 0.001; 1.927; 0.023;  -2.119; 0.147;  -1.895; 0.121;   0.197; 0.084; 0.00
 509;23 10 31.01;+60 27 57.25;17.257; 0.013; 1.251; 0.059; 1.610; 0.018;16.674; 0.001; 2.003; 0.008;   1.852; 0.093;  -1.545; 0.081;   0.237; 0.054; 0.00
 510;23 10 31.07;+60 32 07.66;17.599; 0.016;      ;      ; 1.268; 0.021;17.119; 0.001; 1.694; 0.011;  -6.689; 0.116;  -4.189; 0.099;   0.401; 0.070; 0.00
 511;23 10 31.15;+60 26 05.21;18.583; 0.042;      ;      ; 1.651; 0.058;17.035; 0.001; 3.217; 0.014;  69.446; 0.152;  25.547; 0.127;   8.046; 0.087; 0.00
 512;23 10 31.28;+60 31 58.20;17.575; 0.016; 0.681; 0.046; 1.284; 0.020;17.088; 0.001; 1.713; 0.010;  -3.643; 0.121;  -1.990; 0.097;   0.213; 0.068; 0.99
 513;23 10 31.34;+60 33 02.07;16.865; 0.010;      ;      ; 1.235; 0.017;16.484; 0.001; 1.551; 0.006;   5.091; 0.079;  -3.972; 0.069;   1.059; 0.047; 0.00
 514;23 10 31.46;+60 35 17.63;17.883; 0.021; 0.601; 0.060; 1.376; 0.027;17.209; 0.001; 1.923; 0.015;  -3.581; 0.135;  -2.314; 0.113;   0.276; 0.079; 0.99
 515;23 10 31.56;+60 36 22.63;17.178; 0.012; 0.640; 0.025; 1.069; 0.015;16.853; 0.001; 1.447; 0.009;  -3.646; 0.099;  -2.136; 0.086;   0.290; 0.059; 1.00
 516;23 10 31.56;+60 29 32.64;17.899; 0.022;      ;      ; 1.651; 0.030;17.346; 0.001; 1.916; 0.013;  -5.227; 0.171;  -9.250; 0.141;   0.791; 0.109; 0.00
 517;23 10 31.68;+60 38 17.41;19.167; 0.060;      ;      ; 1.265; 0.075;18.342; 0.002; 1.844; 0.035;  -3.490; 0.234;  -1.745; 0.190;   0.520; 0.140; 0.91
 518;23 10 31.69;+60 32 07.46;17.466; 0.016;      ;      ; 2.493; 0.030;16.098; 0.001; 2.871; 0.012;  -4.088; 0.087;  -0.733; 0.072;   0.148; 0.049; 0.00
 519;23 10 31.92;+60 33 11.48;18.190; 0.026;      ;      ; 1.549; 0.036;17.570; 0.001; 1.913; 0.019;  -3.113; 0.150;  -2.370; 0.146;   0.123; 0.090; 0.84
 520;23 10 32.33;+60 41 37.22;18.231; 0.027; 0.396; 0.064; 1.179; 0.034;17.848; 0.001; 1.611; 0.021;   1.255; 0.171;  -6.853; 0.134;   0.416; 0.101; 0.00
 521;23 10 32.35;+60 35 35.55;17.246; 0.013; 0.731; 0.028; 1.089; 0.015;16.881; 0.001; 1.492; 0.007;  -4.366; 0.098;  -1.955; 0.082;   0.245; 0.057; 0.25
 522;23 10 32.35;+60 40 07.52;17.287; 0.013; 0.911; 0.042; 1.411; 0.017;16.822; 0.001; 1.833; 0.013;  -4.545; 0.144;  -1.801; 0.123;   0.336; 0.089; 0.23
 523;23 10 32.45;+60 33 00.64;13.803; 0.002; 0.218; 0.008; 0.763; 0.002;13.610; 0.000; 1.061; 0.001;  -6.477; 0.029;  -6.137; 0.028;   1.161; 0.018; 0.00
 524;23 10 32.51;+60 27 57.74;18.849; 0.054;      ;      ; 3.128; 0.303;17.413; 0.001; 2.884; 0.025;  -3.603; 0.175;  -1.159; 0.149;   0.169; 0.102; 0.10
 525;23 10 32.62;+60 36 47.65;18.442; 0.032;      ;      ; 1.684; 0.045;17.695; 0.001; 1.911; 0.014; -13.042; 0.168;  -5.370; 0.141;   0.715; 0.098; 0.00
 526;23 10 32.93;+60 24 04.54;14.939; 0.003; 0.509; 0.007; 1.155; 0.004;14.645; 0.000; 1.505; 0.002;   1.977; 0.036;   3.436; 0.030;   0.746; 0.022; 0.00
 527;23 10 33.32;+60 35 35.36;19.100; 0.057;      ;      ; 1.696; 0.126;19.073; 0.005; 1.875; 0.084;  -5.687; 1.981;  -2.219; 1.527;  -2.967; 1.012; 0.94
 528;23 10 33.36;+60 24 28.74;18.493; 0.038;      ;      ; 1.285; 0.047;17.905; 0.001; 1.869; 0.020;  -3.374; 0.180;  -9.024; 0.148;   0.469; 0.109; 0.00
 529;23 10 33.54;+60 28 24.45;17.939; 0.024; 0.284; 0.074; 2.190; 0.065;17.992; 0.001; 1.689; 0.019;  -3.321; 0.198;  -0.600; 0.162;   0.117; 0.126; 0.00
 530;23 10 33.55;+60 35 17.06;18.711; 0.040;      ;      ; 1.272; 0.050;18.188; 0.002; 1.827; 0.027;  -3.174; 0.224;  -2.544; 0.178;   0.172; 0.132; 0.95
 531;23 10 33.60;+60 42 50.24;15.837; 0.005; 0.387; 0.008; 0.769; 0.006;15.747; 0.000; 1.113; 0.004;  -4.369; 0.049;  -1.675; 0.042;   0.266; 0.030; 0.00
 532;23 10 33.78;+60 39 18.27;15.760; 0.005; 0.458; 0.009; 1.043; 0.006;15.445; 0.000; 1.419; 0.004;  10.970; 0.046;  14.298; 0.039;   0.619; 0.028; 0.00
 533;23 10 33.84;+60 36 51.15;16.846; 0.010; 1.197; 0.041; 1.627; 0.014;16.144; 0.001; 2.013; 0.007;   1.054; 0.067;  -2.486; 0.058;   0.277; 0.040; 0.00
 534;23 10 33.89;+60 36 42.15;18.375; 0.030;-1.040; 0.038; 1.311; 0.038;17.847; 0.001; 1.722; 0.026;  -2.240; 0.199;  -3.533; 0.165;   0.372; 0.105; 0.00
 535;23 10 33.90;+60 30 11.40;18.856; 0.047;      ;      ; 1.212; 0.057;18.126; 0.001; 1.822; 0.021;  -6.656; 0.218;  -2.523; 0.175;   0.303; 0.127; 0.00
 536;23 10 34.10;+60 28 16.24;18.718; 0.044;      ;      ; 1.648; 0.061;18.042; 0.001; 1.884; 0.022;  -4.981; 0.217;   1.478; 0.176;   0.934; 0.134; 0.00
 537;23 10 34.29;+60 25 15.15; 8.271; 0.000; 1.065; 0.001; 1.091; 0.001; 8.052; 0.000; 1.286; 0.003; -10.381; 0.054;  -8.571; 0.048;   3.237; 0.032; 0.00
 538;23 10 34.32;+60 27 57.36;17.309; 0.014; 1.274; 0.053; 1.388; 0.018;16.896; 0.001; 1.662; 0.009;   2.053; 0.119;   1.854; 0.097;   0.999; 0.078; 0.00
 539;23 10 34.36;+60 26 45.71;16.747; 0.009; 1.998; 0.287; 1.211; 0.012;16.386; 0.001; 1.576; 0.005;   3.103; 0.078;   0.630; 0.065;   0.654; 0.047; 0.00
 540;23 10 34.59;+60 38 55.91;14.299; 0.002; 0.059; 0.003; 0.744; 0.003;14.104; 0.000; 1.126; 0.002;  -3.735; 0.027;  -2.199; 0.023;   0.299; 0.016; 0.90
 541;23 10 34.64;+60 43 48.54;17.021; 0.012; 1.722; 0.066; 1.549; 0.015;16.483; 0.001; 1.904; 0.007;   9.068; 0.081;   9.479; 0.070;   1.286; 0.047; 0.00
 542;23 10 34.64;+60 31 58.13;17.476; 0.015; 0.799; 0.041; 1.302; 0.019;17.001; 0.001; 1.742; 0.007;  -3.417; 0.108;  -2.423; 0.091;   0.136; 0.063; 0.99
 543;23 10 34.67;+60 40 35.79;17.855; 0.020; 0.331; 0.050; 1.341; 0.026;17.446; 0.001; 1.707; 0.017;  -1.990; 0.138;  -1.018; 0.106;   0.327; 0.081; 0.00
 544;23 10 34.70;+60 27 22.99;16.899; 0.010; 0.787; 0.024; 1.134; 0.013;16.566; 0.001; 1.489; 0.006;   6.779; 0.093;   1.899; 0.082;   0.874; 0.053; 0.00
 545;23 10 34.87;+60 33 48.41;18.807; 0.045;      ;      ; 1.918; 0.069;17.903; 0.001; 2.265; 0.030;  -3.185; 0.192;  -1.858; 0.155;   0.306; 0.112; 0.93
 546;23 10 35.08;+60 35 22.11;19.430; 0.074;      ;      ; 1.289; 0.092;18.377; 0.002; 2.001; 0.028;  -3.696; 0.265;  -1.580; 0.226;   0.112; 0.160; 0.80
 547;23 10 35.12;+60 29 16.89;18.695; 0.042;      ;      ; 1.630; 0.058;18.094; 0.001; 1.889; 0.019;   1.549; 0.201;  -0.742; 0.166;   0.172; 0.121; 0.00
 548;23 10 35.13;+60 32 28.37;18.452; 0.031;      ;      ; 1.470; 0.041;17.993; 0.001; 1.774; 0.018;  -3.966; 0.215;  -3.732; 0.175;   0.864; 0.119; 0.02
 549;23 10 35.21;+60 26 51.33;17.426; 0.016;      ;      ; 2.100; 0.025;16.253; 0.001; 2.671; 0.010;  -3.032; 0.098;  -1.302; 0.082;   0.023; 0.058; 0.00
 550;23 10 35.22;+60 30 15.68;14.959; 0.003; 0.158; 0.005; 1.033; 0.004;14.591; 0.000; 1.486; 0.003;  -3.631; 0.039;  -2.111; 0.031;   0.302; 0.022; 0.95
 551;23 10 35.35;+60 26 15.63;15.888; 0.006;      ;      ; 2.761; 0.012;14.176; 0.001; 3.305; 0.005;  -2.033; 0.104;  -1.642; 0.088;   0.121; 0.060; 0.00
 552;23 10 35.35;+60 41 36.66;18.055; 0.024;      ;      ; 1.195; 0.041;17.752; 0.001; 1.601; 0.022;  -2.216; 0.163;  -1.718; 0.130;   0.300; 0.099; 0.02
 553;23 10 35.40;+60 29 54.63;16.952; 0.010; 0.545; 0.024; 1.273; 0.013;16.579; 0.001; 1.649; 0.009;  -2.513; 0.084;  -2.654; 0.071;   0.395; 0.049; 0.00
 554;23 10 35.44;+60 42 21.60;18.384; 0.033; 0.331; 0.101; 1.670; 0.045;17.629; 0.001; 2.123; 0.016;  -0.464; 0.140;  -3.133; 0.114;   0.326; 0.085; 0.00
 555;23 10 35.59;+60 31 30.64;12.767; 0.003; 0.262; 0.004; 0.698; 0.005;12.666; 0.000; 0.930; 0.001;  -4.700; 0.042;  -4.251; 0.036;   0.707; 0.024; 0.00
 556;23 10 35.73;+60 40 49.07;19.011; 0.056;      ;      ; 1.221; 0.068;18.348; 0.002; 1.825; 0.030;  -1.232; 0.236;  -4.767; 0.189;   0.452; 0.141; 0.00
 557;23 10 35.74;+60 41 33.67;17.247; 0.013;      ;      ; 1.244; 0.022;16.957; 0.001; 1.523; 0.011;  -1.333; 0.098;  -3.205; 0.078;   0.606; 0.060; 0.00
 558;23 10 36.02;+60 42 52.04;16.816; 0.010; 1.222; 0.035; 1.365; 0.013;16.390; 0.002; 1.762; 0.009;  -1.464; 0.378;  -2.049; 0.300;   1.045; 0.234; 0.14
 559;23 10 36.16;+60 40 20.51;16.979; 0.011; 1.707; 0.093; 2.076; 0.018;15.883; 0.001; 2.594; 0.005;  -3.039; 0.086;  -1.600; 0.069;   0.115; 0.051; 0.05
 560;23 10 36.52;+60 36 02.99;17.724; 0.018; 0.453; 0.044; 1.263; 0.022;17.272; 0.001; 1.591; 0.011;  -6.919; 0.124;  -3.337; 0.110;   0.782; 0.076; 0.00
 561;23 10 36.70;+60 37 34.96;18.367; 0.029;      ;      ; 1.544; 0.040;18.155; 0.002; 1.971; 0.127;  24.717; 0.215;   4.612; 0.181;   1.554; 0.125; 0.00
 562;23 10 36.71;+60 29 52.09;17.911; 0.021; 0.943; 0.090; 1.531; 0.029;17.950; 0.004; 1.868; 0.020;   2.129; 0.418;   2.145; 0.369;   0.544; 0.249; 0.00
 563;23 10 36.75;+60 32 08.49;20.864; 0.254;      ;      ; 1.384; 0.485;      ;      ;      ;      ;        ;      ;        ;      ;        ;      ; 0.00
 564;23 10 36.86;+60 41 23.82;18.192; 0.027; 0.431; 0.058; 1.089; 0.032;17.767; 0.001; 1.615; 0.017;  -1.325; 0.181;  -0.550; 0.144;   0.359; 0.111; 0.00
 565;23 10 36.88;+60 35 23.92;17.147; 0.012; 0.598; 0.024; 1.099; 0.014;16.777; 0.001; 1.508; 0.007;  -3.356; 0.090;  -2.348; 0.078;   0.217; 0.057; 0.98
 566;23 10 36.93;+60 34 28.44;18.360; 0.030;      ;      ; 2.081; 0.050;17.445; 0.001; 2.328; 0.021;  -2.218; 0.136;  -0.051; 0.112;   0.128; 0.082; 0.00
 567;23 10 37.01;+60 35 38.18;15.210; 0.004; 0.459; 0.007; 0.941; 0.004;14.937; 0.000; 1.313; 0.002;  -2.009; 0.040;  -1.298; 0.033;   0.327; 0.023; 0.00
 568;23 10 37.05;+60 38 17.35;18.165; 0.026;      ;      ; 1.659; 0.036;17.585; 0.001; 1.857; 0.020;  -2.182; 0.149;  -1.687; 0.129;   1.057; 0.092; 0.01
 569;23 10 37.09;+60 38 23.61;18.283; 0.028; 0.278; 0.073; 1.451; 0.037;17.849; 0.002; 1.699; 0.018;  -2.843; 0.173;  -1.939; 0.152;   0.577; 0.110; 0.53
 570;23 10 37.24;+60 33 44.16;15.858; 0.005; 0.433; 0.011; 1.344; 0.007;15.339; 0.001; 1.781; 0.003;  -3.665; 0.048;  -2.177; 0.041;   0.362; 0.028; 0.90
 571;23 10 37.28;+60 34 36.84;18.325; 0.029;      ;      ; 1.426; 0.038;17.855; 0.001; 1.673; 0.019;  -3.839; 0.187;  -3.417; 0.146;   0.515; 0.113; 0.04
 572;23 10 37.59;+60 44 05.51;17.570; 0.018;      ;      ; 2.155; 0.029;16.507; 0.001; 2.592; 0.009;  -3.353; 0.094;  -0.610; 0.080;   0.239; 0.056; 0.00
 573;23 10 37.64;+60 37 26.11;14.735; 0.003; 0.440; 0.005; 1.002; 0.003;14.507; 0.000; 1.221; 0.002;   0.076; 0.031;   6.592; 0.027;   1.487; 0.019; 0.00
 574;23 10 37.71;+60 43 58.68;17.051; 0.012;      ;      ; 1.213; 0.015;16.707; 0.001; 1.612; 0.008;  12.281; 0.086;   6.380; 0.073;   0.771; 0.051; 0.00
 575;23 10 37.73;+60 31 18.58;16.904; 0.010; 0.664; 0.022; 1.122; 0.012;16.548; 0.001; 1.504; 0.008;  -3.457; 0.083;  -1.679; 0.070;   0.273; 0.049; 0.29
 576;23 10 37.74;+60 34 40.90;18.789; 0.043;      ;      ; 1.171; 0.053;18.014; 0.001; 1.811; 0.033;  -2.181; 0.222;  -1.424; 0.176;   0.370; 0.144; 0.06
 577;23 10 37.94;+60 42 30.77;17.241; 0.014;      ;      ; 2.563; 0.027;15.859; 0.001; 2.982; 0.010;  -1.968; 0.077;  -0.885; 0.063;   0.171; 0.047; 0.00
 578;23 10 37.96;+60 34 52.66;13.991; 0.002;-0.089; 0.003; 0.853; 0.002;13.686; 0.000; 1.246; 0.002;  -3.669; 0.028;  -2.152; 0.024;   0.282; 0.018; 0.89
 579;23 10 38.26;+60 41 11.38;19.258; 0.067;      ;      ; 0.981; 0.078;18.513; 0.002; 1.696; 0.038;  -3.144; 0.267;  -1.816; 0.208;   0.016; 0.159; 0.93
 580;23 10 38.32;+60 43 33.42;17.659; 0.018; 0.160; 0.044; 1.314; 0.031;17.347; 0.001; 1.615; 0.011;  -3.727; 0.120;  -2.079; 0.102;   0.296; 0.070; 0.99
 581;23 10 38.34;+60 44 03.53;15.828; 0.005; 1.339; 0.032; 1.344; 0.007;15.465; 0.000; 1.637; 0.003;   9.118; 0.050;   9.515; 0.043;   1.393; 0.030; 0.00
 582;23 10 38.47;+60 32 13.29;18.017; 0.023;      ;      ; 1.561; 0.031;17.369; 0.001; 2.047; 0.016;  -4.500; 0.137;  -2.171; 0.115;   0.286; 0.081; 0.28
 583;23 10 38.50;+60 38 07.64;18.280; 0.028; 0.526; 0.072; 1.250; 0.035;17.701; 0.001; 1.785; 0.023;  -3.869; 0.163;  -4.081; 0.148;   0.108; 0.098; 0.00
 584;23 10 38.60;+60 38 25.72;17.412; 0.014; 1.329; 0.057; 1.396; 0.019;16.910; 0.001; 1.706; 0.010;  -8.771; 0.095;  -0.971; 0.082;   0.890; 0.059; 0.00
